Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
Collection Manager,Pichhore,Full Time,BD collection  Department,0 Dec 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Good working,Good job
Assistant Manager/manager-(nontechnical),Pune,Full Time,,7 Apr 2021,4.0,4.0,5.0,4.0,5.0,4.0,5.0,learnings and trainings planned for employees,Company is located in remote area travelling is hectic and food quality is bad
Manager - Procurement Logistics Services,Mumbai,,SCM & Logistics Department,1 Feb 2022,5.0,5.0,5.0,5.0,5.0,5.0,4.0,"Flexy working, Approachable senior management,",Its too early to say any dislike
Head Electrical,Chennai,,,3 Dec 2021,4.0,5.0,4.0,5.0,4.0,4.0,5.0,Trust that management puts on individuals,Not much
Deputy Manager,Nagpur,,"Operations, Maintenance & Support Department",8 Apr 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"1.Peoples first(safety,satisfaction,growth plan)
2.Glassdoor policy",Peoples are colarbative and provide a paltform to learn and invent.
Senior Customer Relation Executive,Chandigarh,,Merchandising & Planning Department,5 Apr 2021,5.0,3.0,4.0,5.0,5.0,5.0,4.0,Good work environment and culture very frendly.teamwork are supportive and management is transparent .company policeies are good appraisals are fair and give good salary  and incentives every month .mahindra retail are excellent  .,Salary growth slow .
Trainee Engineer,Nashik,,,6 Jul 2021,1.0,1.0,2.0,2.0,3.0,1.0,1.0,No likes at all,No confirmation of trainees some of us here since last 5 yrs bt still not get confirmation.
Product Design Engineer,Chennai,,Engineering & Manufacturing Department,3 Jun 2021,3.0,3.0,2.0,2.0,5.0,3.0,2.0,Job security,Slow career growth. On the job training is not given to new joinees.
Back Office Executive,Kolkata,,Administration Department,1 Apr 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Work culture is very good,There is a lot of politics and the management doesn’t address our issues.
Sales Executive,Firozabad,,Retail & B2C Sales Department,3 Apr 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"I have learnt so much for here in trainings. That is good for me not for here , for my hole future.",Nothing.
Area Collection Manager,Delhi NCR,Full Time,Collection & Recovery Department,0 Jan 2022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Ok. . .. . .. .  . ... .. . . .. . .. .,.ok . . . . . . . . . . . . . . . .
Administration Executive,Zaheerabad Hyderabad,Full Time,Administration Department,5 Jan 2023,3.0,4.0,3.0,4.0,4.0,4.0,3.0,Work life balance,No skill development programmes
Team Leader,Pune,,Procurement & Purchase Department,0 Jun 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Nice Work Culture amog all,Poor Managemental Decisions
DGM - Group Corporate Safety Lead,Mumbai,,Operations Department,2 Aug 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Freedom, Innovation, appreciating the new efforts",Nothing
Area Customer Care Manager,Noida,,"Operations, Maintenance & Support Department",6 Mar 2021,1.0,1.0,2.0,1.0,1.0,1.0,1.0,"No job security,  highly office politics and bosses are doing politics with their colleagues.",It's is kind of typical money oriented company.
General Manager International Business,MUMBAI,,Retail & B2C Sales Department,3 Aug 2020,4.0,4.0,5.0,4.0,5.0,5.0,4.0,"Mahindra has installed Work From Home system in a very effective way. It has decided not to call employees to office unless it is absolutely necessary.
Mahindra has not cut salaries till now. However, increment has not been given.
Mahindra is also organising regular workshops for mental health & well being. At department level, there are regular informal sessions to destress.","Due to the large size of the organisation, the growth is comparatively slow. Frequent management changes affect the direction of the organisation, which effects the momentum."
Computer Operator,Haveri,,Computer Operating Department,5 Jul 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Good company and well salary,I asked very much interested in mahindra company
Sales Manager,Muzaffarpur,,Corporate Training Department,0 Apr 2021,5.0,5.0,5.0,4.0,5.0,5.0,5.0,"I use to do my job in mahindra and mahindra .it is to much my time of getting rise in the
 Contactx of retailing the goods.",Sir....this company hAS been worked at the indian economy is not fast serviced by customers choice.l
Diploma Engineer Trainee,Nagpur,,"Operations, Maintenance & Support Department",7 Jul 2021,3.0,2.0,3.0,2.0,3.0,3.0,2.0,"Growmore together culture 
Desire to achieve next goal",Shift wise time schedule delayed in OT payscale
Automobile Technical Trainer,Bhagalpur,,"Operations, Maintenance & Support Department",7 Jun 2021,5.0,5.0,5.0,3.0,2.0,4.0,3.0,Job security is good & work culture is very good,I  like work in mahindra & mahindra
Employee,Nagpur,Full Time,Machining shop Department,1 Mar 2019,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"The company is open to innovation and readily adopts latets technology..i love the fact that i am a part of a team that markets reluable, high quality products and has a glibal client base..overall i am thankfull to mahindra and mahindra company for give me a change to proove my self...","Compensation is decent , but growth is slow"
Technician,Mumbai,Full Time,"Operations, Maintenance & Support Department",5 Mar 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Amazing experience ,all seniors is very good at teaching , supervisor also good they give you all opportunity to learn something new.","Yes, I must like to working at mahindra & mahindra ."
Det,"Nagpur, Hingna",Full Time,Construction / Manufacturing Department,5 Dec 2020,5.0,4.0,4.0,5.0,4.0,4.0,5.0,No boundaries for showing your skills and no restriction for showing your talent,"Open to learn, and new innovations"
Deputy Manager,Nashik,,,6 Jul 2021,5.0,4.0,5.0,5.0,5.0,5.0,3.0,Culture,"Learning, company policy"
Assistant Manager/manager -(technical),Pune,,,8 Jul 2021,4.0,3.0,5.0,3.0,5.0,3.0,4.0,Good experience and learning,Best skills development but benifit not good
Deputy Manager,Nashik,,"Operations, Maintenance & Support Department",7 Jul 2021,4.0,3.0,4.0,3.0,4.0,5.0,4.0,Benifit not good,Nothing ground leven technician of not job secure also work done there ia technician ccm is comford zone not suppose respect ccm
Senior Technician,Charanka Patan Gujarat,,"Operations, Maintenance & Support Department",5 Jul 2022,5.0,5.0,5.0,2.0,3.0,3.0,3.0,Field work in politics not teams good cullture corona viraus peraid my job of pressurerize and compeny leave  other companies join,Nothing
Service Technician,Bhopal,,Construction Engineering Department,9 Apr 2022,2.0,2.0,5.0,2.0,1.0,2.0,3.0,Contract and all third class environment and facilities.,Company management Is very poor
Production,Chakan,,,3 Dec 2022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
Collection Associate,Gaya,,Finance Department,5 Feb 2022,2.0,3.0,2.0,2.0,3.0,2.0,2.0,,
Data Entry And Superior,Sitapur,Full Time,Management Department,9 Sep 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Mere 1 sak ka experience h,Management and superior
Manager,Pune,Full Time,Enterprise & B2B Sales Department,1 Apr 2021,4.0,5.0,3.0,4.0,4.0,5.0,3.0,"Good Work Life Balance
Corporate culture is good","No of Paid leaves per year are very, especially after policy revisit n"
Assistant Manager Maintenance,"Igatpuri, Maharashtra",,"Operations, Maintenance & Support Department",9 Apr 2023,4.0,3.0,3.0,4.0,4.0,3.0,2.0,Big brands,No timing for job
Sales Manager,Kolkata,,BD / Pre Sales Department,8 Jul 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Work culture and overall environment is too good,Nothing
Zonal Marketing Manager,Mohali,,Marketing Department,1 Apr 2021,2.0,2.0,2.0,3.0,3.0,2.0,2.0,The culture is rapidly changing and HR has negligible role in manpower related issues,Trying to transform faster than the time and making too many mistakes
Project Executive Engineer,Nanded,,,3 May 2021,5.0,5.0,5.0,4.0,3.0,4.0,2.0,"Management Gives You Time To Learn New Things,But Job Time Depends Upon Projects.",Not Transfer To Others Project.
Assistant Professor,Pune,,,7 Aug 2021,4.0,3.0,4.0,4.0,4.0,3.0,4.0,Management,Finance
Finance Manager,Chennai,,Research & Development Department,0 May 2022,4.0,2.0,4.0,4.0,4.0,4.0,2.0,Good,Growth opportunities
Collection Executive,Mumbai,,Finance Department,7 Nov 2021,5.0,5.0,3.0,3.0,5.0,3.0,3.0,Future,Work presar
Mechanical Engineer,Nagpur,,Transmission machining  Department,0 Sep 2021,4.0,3.0,3.0,4.0,3.0,4.0,3.0,Tooling,Job traning
Mechanical Engineer,Nagpur,Full Time,,2 Sep 2021,5.0,3.0,5.0,4.0,2.0,4.0,3.0,Yes,Only 2 year experience
Se Cre,Bangalore,Full Time,Software Development Department,3 Aug 2021,5.0,5.0,5.0,5.0,4.0,5.0,4.0,Customer service,No promotion
Senior Sales Executive,Mohali,Full Time,Marketing & Sales Department,6 Jul 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Good to work with Mahindra & Mahindra. Good management and excellent work culture.,Nathing
Desktop Support Engineer L2,Pune,,,2 Sep 2020,4.0,3.0,5.0,2.0,1.0,2.0,1.0,Good,Good
Quality Inspector In MQA,Nagpur,,Manufacturing quality assurance & supplier quality assurance Department,1 Jul 2019,4.0,4.0,5.0,4.0,5.0,4.0,2.0,Very good company.  Having multiple opportunities to grow,"Some of Manager behaviors; but company having good ethics, employees are safe"
Assistant Manager/manager-(nontechnical),Chennai,,Accounting & Taxation Department,8 Apr 2021,4.0,3.0,4.0,4.0,5.0,4.0,5.0,"It's a great experience for me to work closely with mahindra and mahindra. All my colleague are responsible and dedicated and cooperative in work, learning etc",Mahindra and mahindra is great opportunity provider for employees who are working in it but career growth is slow
Hr Payroll Executive,Zaheerabad,,HR Operations Department,0 Dec 2020,5.0,5.0,5.0,5.0,5.0,5.0,5.0,No future opportunities and scope,Good job  many opportunity in carriers
Production Engineer,,,,3 Oct 2019,4.0,2.0,5.0,5.0,1.0,4.0,2.0,No,"it is Awesome, please come to mahindra once to see"
Maintaince Engg,Jaipur,,"Operations, Maintenance & Support Department",1 Jul 2021,5.0,5.0,5.0,5.0,1.0,5.0,5.0,nothing,
Deputy Manager,Mohali,,Pharmaceutical & Biotechnology Department,3 Apr 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,
Credit And Collection Management Executive,Kochi/Cochin,Full Time,Enterprise & B2B Sales Department,6 Dec 2020,4.0,4.0,5.0,3.0,4.0,4.0,5.0,"Good work environment and culture. Teammates are supportive and the management is transparent. There is a huge cafeteria and gaming arcade for chilling. Company policies are good, appraisals are fair and they give good salary hike and bonus every year.",On the job training is not given to new joinees.
X-mart Champion(Exchange Manager),Bareilly,Full Time,Marketing Department,9 Feb 2022,4.0,3.0,4.0,3.0,2.0,4.0,2.0,I m at dealership payroll,Onroll good job
Chakan,Pune,Full Time,Utility Maintenance Department,4 Sep 2021,4.0,3.0,1.0,1.0,1.0,1.0,1.0,No,Nice
Territory Business Manager,Bangalore,,Enterprise & B2B Sales Department,1 Aug 2021,4.0,5.0,5.0,3.0,5.0,5.0,4.0,Good company to be with!,Nothing
Manager,Chennai,,HR Operations Department,4 Mar 2021,4.0,1.0,3.0,3.0,5.0,5.0,1.0,Good Policies and job security,"Absolutely no work life balance, a lot of NVAs, growth limited to an elite few"
Customer Care Manager,Pune,,Spare Parts Department,7 Jul 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Grate company,Grate work exp 7 year
Business Development Executive,Gwalior,,Enterprise & B2B Sales Department,6 Dec 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Good work environment and culture,Nothing
Sales Executive,Karnal,,Tractor Sales Department,9 Jun 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Very good policy and very behavior Mahindra team.,Good work environment and culture
Junior Associate Engineer,Mohali,,Engineering Department,2 Aug 2021,5.0,5.0,5.0,5.0,5.0,5.0,3.0,"There is a lot of politics 
Career growth is slow","Work environment is good. Teammates, Supervisor, Operators are supportive and transparency in management. Company gives very  decent  amount of stipend to the trainees, but permanent workers gets very good salary with other perks & benefits"
Internship Trainee,Kandivali,,,1 Sep 2020,4.0,4.0,3.0,3.0,3.0,4.0,4.0,Company policies aren't good for freshers and trainees. Sometimes management doesn't address your issues due to internal politics.,
Production Supervisor,Pune,Full Time,"BFSI, Investments & Trading Department",7 Jan 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Work experience very good,No any challenges.
Assembly Technician,"Pune, Maharashtra",Full Time,,3 Oct 2022,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Good and supporting staff,Nothing
Territory Sales Manager,"Noida, Uttar Pradesh",Full Time,Retail & B2C Sales Department,0 May 2023,3.0,2.0,3.0,3.0,4.0,3.0,2.0,Job Security.,Poor work life balance in Farm division.
Assistant Manager,Kanhe,Full Time,SCM & Logistics Department,8 Apr 2021,4.0,4.0,4.0,3.0,5.0,3.0,4.0,Job security is Excellent at Mahindra I must say..,At remote working locations company should not charge employees for the transportation.
Customer Service Manager,Nagpur,,After Sales Service & Repair Department,0 Mar 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Provide work life balance in the time of Covid-19 & no fear about job security during this pandemic situation,Career growth is lenient
Hr Manager,Lucknow,,HR Operations Department,4 Apr 2023,3.0,3.0,5.0,4.0,3.0,5.0,3.0,Good company and security of job,Nothings
First Line Manager,Pune,,,6 Oct 2021,5.0,1.0,5.0,3.0,3.0,3.0,3.0,Company vehicle and their work,Work culture
Assistant Manager Commercial Vehicle,Srinagar,,Commercial Vehicle Department,5 Nov 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Nothing,"Good
Ghhhhjkkjhuhvccg
Fhi"
Safety Manager,Mohali,,,4 Feb 2022,4.0,4.0,4.0,4.0,4.0,4.0,4.0,It's caring his employees,Less packeg
Mechanical Engineer,Punjab Mohali,,Engineering Department,3 Sep 2021,5.0,4.0,4.0,4.0,4.0,4.0,3.0,,
Technical Manager,Rajahmundry,Full Time,"Operations, Maintenance & Support Department",5 Jul 2021,4.0,3.0,4.0,2.0,2.0,2.0,3.0,Training are good,Salary is very low. Work pressure high.
Service Engineer,Nagpur And Mumbai,Full Time,Management Department,7 Aug 2021,5.0,2.0,5.0,3.0,2.0,3.0,5.0,Just MNC,Unnecessary pressure
Supervisor,Igatpuri,,Supervisors Department,8 Sep 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Good management,job security and good company",Overall best experience
Assistant Manager,Bangalore,,,4 Aug 2021,4.0,4.0,4.0,4.0,4.0,4.0,2.0,Payment,Nothing
Manager,New Delhi,,After Sales Service & Repair Department,3 Mar 2021,2.0,1.0,1.0,1.0,1.0,1.0,1.0,"Zero job security, highly mismanaged, poor worklife balance. Bad pay Master",Nice company to be
Calibration Engineer,Chennai,,Research & Development Department,8 Jan 2022,5.0,3.0,5.0,3.0,5.0,4.0,3.0,Nothing much,work life balance
Consultant,Mumbai Suburban,,Software Development Department,3 Aug 2021,3.0,4.0,2.0,3.0,4.0,4.0,3.0,nothing,"Company was good but Seniors was not good, he never think for for male colleague.  Never appreciate the work for male colleagues."
Accounts & Finance Manager,Sewri,,Accounting & Taxation Department,1 Apr 2022,4.0,3.0,3.0,3.0,4.0,2.0,2.0,"My senior, who never appreciated male work so before joining please think",Providing excellent work
Cnc Machine Operator,Nagpur,,Engineering & Manufacturing Department,5 Dec 2020,3.0,3.0,4.0,1.0,3.0,3.0,3.0,Most caring person in company worked as...,Company culture
