Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
Iqc Quality Inspector,Sahibabad Site 4 Ghaziabad Up,Full Time,Quality Assurance and Testing Department,0 Sep 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,I like havells India limited working is very well i hope to work havells India lmt.,I like working for havells India limited  i like this company
Assistant Manager,"Kanpur, Uttar Pradesh",Full Time,BD / Pre Sales Department,8 Sep 2023,4.0,3.0,1.0,5.0,4.0,3.0,2.0,Travel policy,Manager Quilty not good
Area Sales Manager,"Jabalpur, Madhya Pradesh",Full Time,Retail & B2C Sales Department,8 Sep 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Havells no company,Kuch bhi na pasand nhi ha
Area Head,"Nagpur, Maharashtra",Full Time,Sales Support & Operations Department,5 Sep 2023,4.0,3.0,5.0,4.0,5.0,4.0,3.0,"Products
Job security",Nothing much
Quality Engineer Trainee,Neemrana,Full Time,Quality Assurance and Testing Department,5 Sep 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Good job good experience,No dislike
Ghaziabad UP,"Ghaziabad, Uttar Pradesh",Full Time,Sales Support & Operations Department,4 Sep 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,In havells  best part is if u r working in havells age doesn’t matter..and everyone is supporting each other..I love havells …,Nothing
Electrical Maintenance  Plc Programer,Mumbai,Full Time,Electrical mentenence  Department,4 Sep 2023,3.0,3.0,3.0,3.0,3.0,1.0,3.0,Plant to kafi bda he lekin karmchariyo ke sath bartav achaa nhi he,Shi tha karmchariyo ke sath bartav achaa nhi
Senior Engineer,Noida,Full Time,Engineering Department,3 Sep 2023,3.0,3.0,3.0,3.0,2.0,1.0,4.0,Colleagues are really good at Havells,Job satisfaction is very poor
Sr. Design Engineer,Noida,Full Time,Engineering & Manufacturing Department,3 Sep 2023,5.0,5.0,5.0,3.0,5.0,5.0,4.0,Work culture is good,Sometimes travel to plant
Deputy Manager,"Ahmedabad, Gujarat",Full Time,Retail & B2C Sales Department,1 Sep 2023,5.0,4.0,2.0,3.0,3.0,4.0,2.0,"Work life balance 
Work culture",Salary increment & benefits
Quality Inspector,Neemrana,Contractual,Production & Manufacturing Department,1 Sep 2023,3.0,3.0,3.0,3.0,2.0,3.0,2.0,Nothing special,"Company culture, behaviour"
Product Head,"Bhopal, Madhya Pradesh",Full Time,Enterprise & B2B Sales Department,1 Aug 2023,5.0,5.0,3.0,3.0,5.0,4.0,4.0,"Trade market,Well cultured","Old Incentive Policy,Non professional"
Marketing Executive,Lucknow,Full Time,BD / Pre Sales Department,0 Aug 2023,4.0,4.0,3.0,3.0,4.0,4.0,3.0,Nice company,On local level politics
Accounts Manager,"Bhubaneswar, Odisha",Full Time,Accounting & Taxation Department,8 Aug 2023,1.0,1.0,2.0,3.0,2.0,1.0,2.0,Most dislike as this is a lala company,Lala company no work culture
Rural Sales Officer,"Patna, Bihar",Full Time,Enterprise & B2B Sales Department,8 Aug 2023,5.0,5.0,5.0,4.0,4.0,4.0,3.0,Culturize good,Company growth not available
Marketing Manager,Hyderabad/Secunderabad,Full Time,Enterprise & B2B Sales Department,7 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Yes, it's a dignity of work",There is no mention reason
Sales Manager,"Kanpur, Uttar Pradesh",Full Time,Sales Support & Operations Department,7 Aug 2023,5.0,3.0,2.0,5.0,2.0,5.0,3.0,. Good plateform to work on it at H.O lable.,Very much internal politics at branch lable
Senior Executive,Noida,Full Time,Retail & B2C Sales Department,6 Aug 2023,3.0,3.0,3.0,1.0,3.0,3.0,3.0,Work timing good,HR roll zero no commitment level.
Assistant Manager,"Kolkata, West Bengal",Full Time,Retail & B2C Sales Department,6 Aug 2023,5.0,5.0,2.0,4.0,5.0,5.0,4.0,Work culture & Vision of the organization,"No skill development & learning, No career growth & exposure."
Dgm,"Sri City, Andhra Pradesh",Full Time,Operations Department,6 Aug 2023,1.0,1.0,1.0,1.0,1.0,1.0,2.0,Nothing,no culture and lot of partiality based on the caste
Isd   (working remotely),,Full Time,After Sales Service & Repair Department,5 Aug 2023,5.0,5.0,4.0,4.0,5.0,5.0,2.0,Havells ISD warking at 6 year,No promotion
Sales And Promotion Executive,"Bhubaneswar, Odisha",Full Time,Enterprise & B2B Sales Department,5 Aug 2023,3.0,3.0,2.0,3.0,1.0,3.0,1.0,Very good experience in working and,Poltics is very High
Sales Executive,"Vijayawada, Andhra Pradesh",Full Time,Sales Support & Operations Department,5 Aug 2023,4.0,4.0,4.0,4.0,3.0,3.0,3.0,Good good good good good good,Politics politics politics politics politics
Assistant Manager,"Maldah/Malda, West Bengal",Full Time,Operations Department,5 Aug 2023,5.0,5.0,3.0,5.0,5.0,4.0,4.0,Everything,Nothing has dislike here for Havells
Deputy Manager Sales,Gurgaon And Kanpur Varanasi,Full Time,Enterprise & B2B Sales Department,4 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Policy and hirerchy and decipline,I don't have any negativity for this company
Branch Product Head,"Hyderabad/Secunderabad, Telangana",Full Time,Retail & B2C Sales Department,0 Aug 2023,3.0,5.0,3.0,4.0,4.0,2.0,4.0,Work life balance is good .,From Headoffice support is good but From branch management support is not up to the mark
Qa Qc Engineer,"Bandipora, Jammu & Kashmir",Intern,Quality Assurance and Testing Department,3 Aug 2023,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Good company I like it,To much work load
Desktop Support Engineer,Noida,Full Time,IT Support Department,3 Aug 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Nothing is good havells,Everything is bad in havells
Electrical Technician,Baddi,Full Time,Engineering Department,3 Aug 2023,5.0,3.0,4.0,3.0,2.0,1.0,2.0,Team work and department  sport,Management  design and nay   celebration  are not involve  the worker
Rural Sales Officer,"Indore, Madhya Pradesh",Full Time,Enterprise & B2B Sales Department,2 Aug 2023,3.0,2.0,3.0,1.0,5.0,3.0,1.0,Overall good but only onrll employees,Only Onroll employees. Off roll employees only for use business. Like a bandhva majdur
Sr Manager Marketing,"Kanpur, Uttar Pradesh",Full Time,Enterprise & B2B Sales Department,2 Aug 2023,4.0,3.0,3.0,3.0,3.0,4.0,3.0,They are very good pay master for both their employees and for their channel partners also,When it comes to trust they sometimes loose confidence on their own experienced employees
Deputy Manager,"Guwahati, Assam",Full Time,Retail & B2C Sales Department,1 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Very good working culture, work life balance",Nothing is to dislike
Rso,"Coimbatore, Tamil Nadu",Full Time,Sales officer Department,1 Aug 2023,4.0,2.0,4.0,3.0,2.0,2.0,2.0,Basic learn..no work-life balance..no growth,No salary increment
Design Engineer,New Delhi,Full Time,Engineering & Manufacturing Department,2 Aug 2023,4.0,5.0,2.0,3.0,5.0,3.0,4.0,ITs is okay for learning,Company Culture
Branch Product Head (Small Appliances,"Lucknow, Uttar Pradesh",Full Time,Retail & B2C Sales Department,0 Aug 2023,4.0,4.0,3.0,4.0,4.0,4.0,4.0,Nice company to work with,High level Politics
Senior Sales Executive,Hyderabad/Secunderabad,Full Time,Retail & B2C Sales Department,9 Aug 2023,3.0,2.0,1.0,2.0,1.0,1.0,2.0,Nothing likes,Everything is dislike.
Rural Sales Officer,Lucknow,Full Time,Retail & B2C Sales Department,8 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,All team are well support,They talk about data .
Assistant Manager,"Ranchi, Jharkhand",Full Time,Retail & B2C Sales Department,8 Aug 2023,5.0,5.0,1.0,3.0,3.0,1.0,1.0,As A company it was good...but in jharkhand not to work here,Nothing
Area Head,"Agra, Uttar Pradesh",Full Time,Retail & B2C Sales Department,7 Aug 2023,4.0,4.0,4.0,5.0,5.0,5.0,3.0,Good work environment and learning lots.,Can't say anything
Area Sales Manager(Rural Channel Development),"Chandigarh, Chandigarh",Full Time,Retail & B2C Sales Department,7 Aug 2023,2.0,2.0,2.0,4.0,2.0,2.0,3.0,Good remuneration,Poltics type of culture.
Customer Service Manager,"Chandigarh, Chandigarh",Full Time,Customer Success Department,5 Aug 2023,5.0,4.0,5.0,5.0,4.0,5.0,4.0,Working culture is very good... Even VP is also interact with all Team member including ASP/DSE.,Nothing is bad.
Asst.manager,"Surat, Gujarat",Full Time,Marketing Department,4 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,You can put your thoughts and fly as you can....,Some times stock availability
Sr Manager,"Ranchi, Jharkhand",Full Time,Retail & B2C Sales Department,3 Aug 2023,4.0,5.0,3.0,4.0,4.0,4.0,4.0,Ethics and working culture is excellent,More training and development required
Aurangabad,"Patna, Bihar",Full Time,Customer Success Department,3 Aug 2023,5.0,4.0,5.0,4.0,4.0,5.0,3.0,There is many things to explore & learn.,There is no any dislikes
Graduate Apprenticeship Trainee,"Neemrana, Rajasthan",Full Time,Quality Assurance and Testing Department,3 Aug 2023,3.0,4.0,5.0,4.0,4.0,2.0,2.0,Development skills and Salary benefits,"Work culture is worst , Management worst, bad Management and Work process"
Area Head,"Thiruvananthapuram, Kerala",Full Time,Retail & B2C Sales Department,2 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Job security and. Work life balance,No
Rural Sales Officer,"Lucknow, Uttar Pradesh",Full Time,Sales Support & Operations Department,0 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,4.0,very good feel with work in havells no,no nothing dislike with havells
Store Manager,"Datia, Madhya Pradesh",Full Time,Stores & Material Management Department,9 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,India no1 company,Dellers weavers not good
Aprantice Electrical Engineer,Alwar,Full Time,Engineering Department,9 Aug 2023,3.0,3.0,4.0,4.0,1.0,3.0,1.0,Overall is good 😊,After aprantice no job this company
Regional Sales Manager,Hyderabad/Secunderabad,Full Time,Retail & B2C Sales Department,9 Aug 2023,5.0,5.0,3.0,5.0,3.0,4.0,5.0,Good place to work,Organizations' structure or reporting structure
Branch Service Manager,"Ranchi, Jharkhand",Full Time,After Sales Service & Repair Department,8 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,I have had the best experience in my 22y plus experience.,No any
Bd Executive,"Pantnagar, Uttarakhand",Full Time,Sales Support & Operations Department,8 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Nice working culture,Nothing  to dislike in company
Isd,"Bilaspur, Chhattisgarh",Full Time,Retail & B2C Sales Department,8 Aug 2023,4.0,4.0,5.0,4.0,4.0,5.0,3.0,Nice product and good service,Limited productivity
Deputy Manager,"Kolkata, West Bengal",Full Time,Enterprise & B2B Sales Department,8 Aug 2023,3.0,3.0,3.0,4.0,4.0,4.0,3.0,"Timely Salary.
Supportive Manager.",I prefer not say. But I guess pretty much everywhere the issues are same.
Digital Marketing Lead : E-Commerce,Noida,Full Time,eCommerce Operations Department,7 Aug 2023,5.0,5.0,5.0,4.0,5.0,5.0,5.0,Very good organisation,Everyone and everything is good
Key Account Manager,Richmond Road,Full Time,Retail & B2C Sales Department,7 Aug 2023,4.0,4.0,3.0,3.0,4.0,4.0,2.0,Work life balance,Less promotion opportunity
R S O,"Srinagar, Jammu & Kashmir",Full Time,Banking Operations Department,7 Aug 2023,4.0,3.0,2.0,5.0,2.0,5.0,1.0,"One of the best company salary on time
Job square is zero",Job square is zero
Engineer,Baddi,Full Time,Procurement & Purchase Department,6 Aug 2023,5.0,5.0,4.0,5.0,4.0,5.0,5.0,Great place to work if you are eager to learn,Nothing yet everything is going well
Assistant Manager,Mumbai,Full Time,Retail & B2C Sales Department,6 Aug 2023,3.0,1.0,2.0,2.0,3.0,2.0,2.0,Havells a very big brand,Nothing to say anything
Sales Executive,"Alathur, Kerala",Full Time,Retail & B2C Sales Department,4 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Reliable interested products and good behaviour of company and distributors,Nothing
Area Sales Manager,Hyderabad/Secunderabad,Full Time,Retail & B2C Sales Department,3 Aug 2023,5.0,4.0,4.0,5.0,4.0,4.0,3.0,Overall I like it's like Home Havells,Cros functional reporting in some time
Lead Research Engineer,"Bengaluru/Bangalore, Karnataka",Full Time,Power electronic Department,3 Aug 2023,3.0,3.0,3.0,3.0,3.0,3.0,2.0,Not seen this type of culture,People treatment
Senior Engineer,Neemrana,Full Time,Production Department,3 Aug 2023,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Salary on time,6 day working
BAJAJ Electronics,Hyderabad/Secunderabad,Full Time,Other Department,2 Aug 2023,1.0,1.0,2.0,1.0,1.0,3.0,1.0,Havells payslip defferent two types of salary mention this is not correct,Incentive on time not credited
S. Sales Executive,New Delhi,Full Time,Retail & B2C Sales Department,3 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Good,As per my work experience in last 8 years but there is no apricatation for my career.
Senior Executive,"Ghaziabad, Uttar Pradesh",Full Time,Sales Support & Operations Department,2 Aug 2023,1.0,1.0,2.0,2.0,2.0,1.0,1.0,Nothing to like,If you are a downliner employee then you have no job security.
Assistant- Dispatch & Store,"Alwar, Rajasthan",Full Time,Stores & Material Management Department,1 Aug 2023,4.0,3.0,3.0,3.0,4.0,3.0,1.0,"Got to learn a lot, everyone works together and has good bonding with the boss.",nothing
Production Incharge,Haridwar,Full Time,Engineering Department,9 Jul 2023,5.0,5.0,5.0,4.0,4.0,4.0,3.0,All work very good,there is no work that is not good
Area Head At Kota,"Jaipur, Rajasthan",Full Time,Other Department,9 Jul 2023,4.0,4.0,3.0,4.0,3.0,4.0,3.0,"Great Organization, good working culture .",Employee engagement not good
Rural Sales Officer   (working remotely),,Full Time,BD / Pre Sales Department,8 Jul 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Havells product quality and price like,Price very high and no Appraisal employee my role. More than 3 years
Mis Executive,Luhari,Full Time,Back Office Department,1 Sep 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Yes havells work is very smooth,Defective submit proses
Jungheinrich Machine Operator,"Ghaziabad, Uttar Pradesh",Full Time,Forklift operator  Department,8 Jul 2023,4.0,5.0,5.0,5.0,3.0,4.0,4.0,I like to do work at Havells because there was better communication understanding in staff.,I dislike to some over efforts from staff sides
Assistant General Manager Sales & Marketing,"Chennai, Tamil Nadu",Full Time,Retail & B2C Sales Department,7 Jul 2023,4.0,4.0,5.0,4.0,4.0,5.0,3.0,Very good company,Need more promotions in South India
Senior Executive,"Bengaluru/Bangalore, Karnataka",Full Time,Enterprise & B2B Sales Department,7 Jul 2023,4.0,4.0,3.0,4.0,3.0,5.0,4.0,Work culture is good,Employee removal without proper reason
Deputy Manager -Fan,Kolkata,Full Time,Sales Support & Operations Department,6 Jul 2023,5.0,5.0,3.0,4.0,5.0,5.0,3.0,Balance between work life,Still finding
Branch Head Product,"Indore, Madhya Pradesh",Full Time,BD / Pre Sales Department,6 Jul 2023,4.0,4.0,4.0,4.0,4.0,4.0,4.0,It's Culture and transparency,A bit slow Growth
Branch Head Product,Mumbai,Full Time,Sales Support & Operations Department,6 Jul 2023,3.0,2.0,3.0,2.0,3.0,2.0,2.0,Personally Nothing to like,"Policies, and Lot of Politics."
Product Manager,"Vijayawada, Andhra Pradesh",Full Time,Sales Support & Operations Department,6 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Good grate place to work,No bad things to tell
Senior Executive,"Kochi, Kerala",Full Time,Retail & B2C Sales Department,5 Jul 2023,3.0,3.0,4.0,5.0,4.0,5.0,4.0,Nice benefits to employees,Work life balance
Deputy Manager,"Bhubaneswar, Odisha",Full Time,Marketing Department,4 Jul 2023,5.0,5.0,4.0,5.0,5.0,4.0,4.0,It’s batter to work at this company.,Nothing
