Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
Deputy Manager Sales,Kolkata,,,4 Sep 2019,3.0,3.0,3.0,3.0,3.0,2.0,2.0,"If you talk about company, it's a good company. Job security, growth and environment is very less now a days.","Management never Cared about front line sales people, who is actual backbone of any company."
Department Manager,"Gurgaon , Haryana",,Administration Department,1 Mar 2020,5.0,5.0,4.0,4.0,5.0,5.0,4.0,The best company to work with....Management is very good....,Good place to work specially for new employees . There is lot of things to learn . Company Goodwill is good on the market .
Direct Sales Executive,,,Marketing Department,1 Jan 2020,3.0,5.0,5.0,5.0,5.0,4.0,2.0,Slow growth opportunities .,
Senior Commercial Officer,Cuttack,Full Time,Accounting & Taxation Department,6 Sep 2019,5.0,4.0,5.0,4.0,4.0,4.0,4.0,Learning office guide line . Different working culture. Love to be a part of corporate culture.Growth of carrier,Not more benefits for employees
Sales Executive,,Full Time,,4 Mar 2019,4.0,4.0,5.0,4.0,3.0,3.0,2.0,Good,Less growth
Sales Executive,Pune,,Marketing Department,9 Jun 2022,4.0,3.0,4.0,3.0,3.0,3.0,3.0,Work life balance,Lack of Knowledge sharing among the colleagues
Direct Sales Promoter,Bhopal,,Retail & B2C Sales Department,7 May 2019,5.0,5.0,5.0,5.0,5.0,4.0,3.0,"The company is open to innovation and readily adopts latest technology. I love the fact that I am a part of a team that markets reliable, high quality products. Another plus point is that my colleague come from various cultural backgrounds, and we work happily in collaboration. I also like the Product awareness training policy.","Compensation is decent, but growth is slow."
Manager,GURUGRAM,,Procurement & Purchase Department,9 May 2019,5.0,5.0,3.0,3.0,5.0,5.0,2.0,"People are good, job fairly secured with no career growth, salary is on time, an appraisal is moderate, travel policies are best for female employees, the work environment is ok, no scope of innovation, work-life is balanced","No career growth available to fewer selected only, appraisals are not aligned to inflation, some older people are mostly engaged in politics"
Tarroitery Sales Manager,Ghaziabad,,,1 Apr 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Good environment,Future growth is very slowly
Lasm,,,Marketing Department,0 Dec 2019,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Its a good company ..you can work innovatively....your hard work will be noticed at time....,"salary benefits,and work life balance"
Lasm,Mumbai,,,2 Jun 2020,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,
Engineer,Hyderabad,,Engineering Department,2 Sep 2019,4.0,5.0,5.0,4.0,5.0,5.0,5.0,,
Spray Painter,Hyderabad,,HEI Department,8 Jun 2020,5.0,5.0,5.0,4.0,5.0,5.0,5.0,,
,,,,,,2.0,5.0,3.0,4.0,4.0,5.0,,
,,,,,,3.0,5.0,3.0,5.0,4.0,4.0,,
,,,,,,3.0,5.0,3.0,5.0,4.0,4.0,,
Sales Officer,Jalandhar City,Full Time,Sales department Department,9 Sep 2019,4.0,4.0,4.0,4.0,5.0,5.0,5.0,The company atmosphere is very friendly as well as employees work with full zeal,Nothing till now.
Assistant Manager,,Full Time,,9 Jul 2018,3.0,3.0,4.0,3.0,3.0,4.0,3.0,Discipline,"Usha is best company out there in terms of life work balance, compensation and career growth. They are many people who are working more than 10-15 years for the company and grown from sales executive to top management.. no longer unnecessary pressure for target. Extreme helpful work environment."
Senior Territory Manager,PUNE,,BD / Pre Sales Department,8 Apr 2019,5.0,5.0,4.0,4.0,5.0,4.0,4.0,Sometimes policy are rigids and takes time to implement.,"Salary on time, policy ok, middle management not up to mark"
Territory Manager,Guwahati,,,5 Apr 2022,4.0,3.0,5.0,3.0,3.0,3.0,3.0,"Too much work pressure, even you have to work on Sunday, no family time",Good
