Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
Retail Executive,Jodhpur,,,7 Mar 2022,5.0,5.0,5.0,3.0,5.0,5.0,5.0,Nothing say to dislike about whirlpool company,Job security & work lofe balance
Deputy Manager - Manufacturing Finance,Gurgaon,,Finance Department,0 Jun 2022,3.0,5.0,3.0,2.0,5.0,3.0,2.0,Compensation & career growth culture,Work Life balnce and freedome to work with my own decisions
Area Service Manager,Faridabad,,,0 May 2022,4.0,5.0,4.0,3.0,5.0,5.0,3.0,Nothing,"End to end work,job profile"
Senior Specialist,Gurgaon,,,1 Jun 2022,5.0,2.0,4.0,3.0,3.0,3.0,2.0,"Nothing as such,work pressure",Good Work life balance
Sr. Cae Analyst,Pune,,CAE Department,9 Jun 2022,4.0,4.0,3.0,3.0,5.0,4.0,2.0,,
Senior Production Engineer,Pune,Full Time,"Operations, Maintenance & Support Department",6 Apr 2022,3.0,2.0,3.0,1.0,4.0,3.0,1.0,None,Career growth
Billing Assistant,"Faridabad, Haryana",Full Time,,4 Jun 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Environment is very cool,Nothing
Technical Writer,Pune,Full Time,Content Management (Print / Online / Electronic) Department,4 Apr 2022,4.0,4.0,3.0,3.0,4.0,4.0,3.0,Work-life balance,Annual Increment
SAP C4C Product Analyst,Gurgaon,Full Time,Business Intelligence & Analytics Department,0 Apr 2022,4.0,5.0,4.0,4.0,5.0,5.0,4.0,Work life balance,Slow paced company
"Specialist, Finance Operations",Gurgaon/Gurugram,Full Time,Finance Department,8 Apr 2022,5.0,3.0,5.0,3.0,5.0,5.0,3.0,Good work culture,No transport for India business.
Senior Global Project Engineer,Pune,,Technology Department,7 May 2022,5.0,5.0,5.0,4.0,5.0,5.0,5.0,Product ownership,No transport
Embedded Software Engineer,Pune,,Engineering & Manufacturing Department,7 May 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Work life balance,Best place to work
Refrigeration Technician,Kerala,,Calicut Department,3 Apr 2022,4.0,1.0,3.0,2.0,2.0,4.0,4.0,co workers are friendly to behave,Honestly the compensation of a single work is very poor  that not satisfy the expense met by a field technition
Graduate Engineer Trainee (get),Pune,,,7 May 2022,5.0,3.0,5.0,3.0,3.0,4.0,4.0,Leanings I got while handling the project. Good exposure.,The compensation was less
Asm Assistant,Delhi NCR,,Service Department,9 Jun 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Everything I like about whirlpool,Nothing
Verification And Validation Engineer,Ranjangaon Pune,Full Time,Pharmaceutical & Biotechnology Department,1 Jan 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Good company and position and also person can get good exposure to start with,No trainings are given to trainees
Senior Engineer,Pune,Full Time,Production Department,0 Apr 2022,4.0,2.0,3.0,1.0,3.0,3.0,3.0,Lack in employee development with respect of skill development and learnings,Very good sportives team in our office
Back Hand,Bangalore Rural,Full Time,Bangalore south Department,6 Apr 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Very much pressure in the office,Best place to work.
Senior Software Engineer,Pune,Full Time,IT Network Department,6 Jun 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Nothing, all good.","Good work culture, management and company policies"
Senior Engineer,Pune,Full Time,Engineering & Manufacturing Department,7 Feb 2022,5.0,4.0,5.0,4.0,5.0,5.0,5.0,No dislike so far,"Management, company policies"
Senior Software Project Engineer,Pune,,Software Development Department,0 May 2022,5.0,5.0,5.0,4.0,5.0,5.0,4.0,Great place to direct your career,not an MNC experience aways on cost cutting
Executive Scm,"Pune, Maharashtra",,,7 Apr 2022,5.0,4.0,3.0,5.0,4.0,3.0,2.0,Good opportunities to work independently,"Overload, no work-life balance"
Senior Executive,"Pune, Maharashtra",,Engineering Department,6 Dec 2022,4.0,3.0,4.0,4.0,4.0,2.0,2.0,Good enviroment.,Nothing
Costing Executive,Faridabad,,Finance Department,6 May 2022,4.0,4.0,4.0,3.0,4.0,4.0,5.0,Culture,Decision making is slow
Deputy Manager,Vikhroli Mumbai,,Marketing Department,0 May 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,
Deputy Manager,Faridabad,Full Time,Engineering Department,0 Apr 2022,5.0,3.0,4.0,3.0,4.0,4.0,4.0,"Learning new things
New technology",Nothing
Senior CAE Specialist,Pune,Full Time,Engineering Department,4 Jun 2023,5.0,5.0,4.0,5.0,5.0,5.0,5.0,Work life balance,Working desk
Associate Finance & Accounts,Faridabad Haryana,Full Time,Accounting & Taxation Department,6 Jul 2022,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1. Working with Whirlpool almost 2 years in Faridabad plant  . Very helpful people here specially general manager mr suresh Kumar Khandelwal indirect taxation. He is very nice person very helpful person in whirlpool Faridabad Plant . Energetic person of whirlpool india .,Nothing
Senior Cae Engineer,Pune Kharadi,Full Time,Engineering & Manufacturing Department,6 Apr 2022,5.0,5.0,5.0,4.0,5.0,5.0,5.0,Work life balance,No free lunch and snacks
Area Sales Executive,Jaipur,,,9 Oct 2021,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Never recommend anyone to work in Rajasthan branch. Don't spoil your career in this organization.,Overall organization working calture is good but huge politics involved in senior level position. if your want to join Rajasthan branch please change your mind and go for some other opportunity.
Senior Back Office Executive,BANGLORE,,,7 May 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Good Environment,Culture & Policies
Area Sales Manager,"Ghaziabad, Uttar Pradesh",,,1 Feb 2023,5.0,4.0,4.0,3.0,4.0,4.0,3.0,All ok,Nothing!!
