Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
Picker,Jhajjar,,Picking Department,2 Sep 2021,5.0,5.0,5.0,5.0,5.0,3.0,5.0,"Here well working culture and most important safety policies very strong.
New learning day by day.",I like all things about working at Panasonic india pvt ltd.
Line Leader,Jhajjar,,Engineering Department,7 Apr 2021,4.0,4.0,4.0,4.0,5.0,5.0,5.0,,
Territory Sales Officer,Noida,Full Time,,6 Oct 2021,3.0,3.0,2.0,2.0,3.0,2.0,2.0,Growth not possible,"Everything is good, perfect MNC."
Senior Engineer,Jhajjar,,,4 Aug 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Nothing,"All Are Good, but Career Growth is very slow"
Sales Officer,Madurai,,Retail & B2C Sales Department,6 May 2021,5.0,3.0,5.0,4.0,4.0,4.0,4.0,Its very great Panasonic company i am so feeling glad because i  am working in company,It's a 100+ Year old Company. !! Good Place to Work
Sales Executive,Gurgaon,,Electronics Department,6 May 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,good company,not dislike
Area Sales Manager,Hyderabad/Secunderabad,,BD / Pre Sales Department,0 Apr 2021,5.0,3.0,4.0,3.0,4.0,4.0,4.0,Good work environment.,"There is a lot of politics & the management dosen't address our issur.career growth is very much slow.
Senior person treat juniors like a slave."
Sales Man,Chennai,,Retail Sales Department,0 Apr 2022,4.0,5.0,5.0,5.0,5.0,5.0,5.0,company policies,nothing
Sales Officer,Mumbai,,Sales & marketing Department,3 Apr 2021,3.0,2.0,3.0,4.0,2.0,4.0,1.0,Excellent experience,Yes Iam Like Job
Sales Executive,Ghaziabad,,sales excutive Department,4 Aug 2021,5.0,5.0,5.0,4.0,3.0,5.0,5.0,Yes Like,
Service Engineer,Chennai,,Voice / Blended Department,6 Oct 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,
Sales Executive,Bihar Jharkhand Etc All India,,Any why department Department,5 Dec 2021,4.0,4.0,4.0,4.0,5.0,4.0,5.0,,
Cabinet Foaming Operator,Jhajjar Haryana,Full Time,Hr Recruitment Department,3 Sep 2021,4.0,3.0,5.0,3.0,4.0,5.0,4.0,I think panasonic is better,Get to Learn new challenge and Products training are good
Team Leader And Supervisor,Kolkata,,Marketing Department,3 May 2021,3.0,2.0,4.0,2.0,3.0,3.0,2.0,Worst company,Overall job security and work culture is good.  Job security is somewhat insecure
Product Promoter,Tirunelveli,,Marketing Department,8 Jul 2021,5.0,2.0,5.0,1.0,1.0,1.0,1.0,I am where had work and very trust full employee,Karrupu
Sales Executive,Kolkata,,Sales & Marketing Department,1 Dec 2021,4.0,4.0,4.0,4.0,3.0,4.0,4.0,"Work - Life Balance , Compensation",Decision Making
Sales Executive,Madurai,,Retail & B2C Sales Department,2 May 2019,4.0,4.0,4.0,4.0,4.0,4.0,2.0,Company policies,I like all the work of panasonic campani
Manager,Haridwar,,,2 May 2021,4.0,5.0,3.0,5.0,5.0,3.0,4.0,All members are very help full and good behaviour,Nothing
Operator,Jhajher,,Washiing machin Department,0 Jun 2021,5.0,2.0,4.0,4.0,5.0,4.0,5.0,Job security,HR policies and administration.
Back Office Computer Operator,Kolkata,,Behala Department,4 Jul 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Service installation,Insensitive problem
Senior Manager It,Mumbai,,IT Infrastructure Services Department,3 Jun 2021,2.0,3.0,2.0,1.0,3.0,2.0,2.0,,
Ac Mechanic,Chennai,,Technical Department,0 May 2021,5.0,4.0,3.0,3.0,3.0,3.0,4.0,,
Assistant Manager Ehs,Jhajjar,Full Time,,2 Aug 2022,3.0,3.0,2.0,3.0,3.0,3.0,3.0,"Friendly environment, employee welfare is good, good work life balance. Free transport and flexible timing.",Internal politics and apraisal system.
Rse,Chandigarh,,Enterprise & B2B Sales Department,7 May 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Work culture and jod security,No
Sox Deputy Manager,Gurgaon/Gurugram,,Internal Audit Department,9 May 2022,3.0,4.0,2.0,2.0,2.0,1.0,1.0,Nothing. Company has poor culture and does not looks after employees at all,Management is not considerate either about employees nor a about company's survival its filled feet licker
Branch Trainer,Lucknow,,Marketing Department,9 Jul 2020,3.0,3.0,3.0,2.0,2.0,2.0,2.0,"Company is deducting salaries from the first day of lockdow, and that was without any communication and clarity about the calculations of deduction. 
Additional there is no hope of career growth here. 
Company not caring about employees safety, they just paid once an amount to purchase sanitizer and mask. And after that at the time of annual increments, instead of increment all employees salary structure is revised which is not beneficial for a employee....Read More",Seniors somehow understands the actual situation and problems but management policies and how they threaten an employee is like a dictator behavior.
Isr,Mumbai Suburban,,D Department,3 Apr 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,It's great management supportive staff it's just osm,Not good salary
Area Service Manager,Ghaziabad,,Service Delivery Department,2 Jun 2021,4.0,4.0,3.0,3.0,4.0,4.0,3.0,Moderate,"Work life balance, support"
Area Manager,Pune,,Retail & B2C Sales Department,0 Jun 2021,4.0,3.0,4.0,4.0,4.0,4.0,4.0,It's a good co. To work with,Branch level management
Manager / Sr Manager - Administration,Delhi NCR,,,5 May 2021,3.0,2.0,3.0,3.0,2.0,3.0,1.0,The Japanese culture of job security.,Strategy changes frequently
Deputy Manager,Jaipur,,BD / Pre Sales Department,5 Mar 2021,3.0,4.0,2.0,3.0,2.0,2.0,2.0,Panasonic is sinking ship all I would say.,Good for nothing.
Asisstant Manager Manufacturing,Gurgaon,,Manufacturing Department,6 Jun 2021,5.0,5.0,4.0,3.0,5.0,4.0,4.0,Good working environment & culture.,Nothing to be disliked.
"Hvac Technician,elactrical Technician",Delhi NCR,Full Time,Hvac  technician  Department,0 May 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Thanks to before I worked Panasonic  service center,Thanks
Zonal Manager (east),Kolkata,Full Time,Sales & Marketing Department,9 Oct 2020,4.0,4.0,4.0,4.0,3.0,4.0,3.0,Good work environment and culture.teammates are supportive and the management is transparent..company policies are good appraisals are fair,Not yet discovered
Customer Service Manager,Bhubaneswar,,,4 Apr 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Good Company,Good Experience
Fireman,Daman & Diu,,Environment Health & Safety Department,7 Jun 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Bast company,Work culture and policies are more good.
Process Operator,Pithampur,,Production Department,3 Apr 2021,5.0,5.0,5.0,4.0,5.0,5.0,4.0,All good.,Good work environment and cultural
Sales Officer,Raipur,,Marketing Department,2 Jul 2021,5.0,5.0,5.0,5.0,3.0,5.0,5.0,Happy,Helpful management
Senior Sales Executive,Lucknow,,Retail Sales Department,7 May 2021,5.0,4.0,5.0,3.0,4.0,4.0,4.0,No weekoff,All is good
Sales Executive,Kolkata,,Sales & Marketing Department,6 May 2021,5.0,5.0,5.0,4.0,4.0,5.0,5.0,Overall work culture is good,Good company
Sales Officer,Vizag,,Marketing Department,9 Jun 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Good,Cooperative management
Tso,Ghaziabad,,,2 Apr 2021,4.0,4.0,4.0,3.0,3.0,3.0,3.0,Growth is tough and slow,
Mis Coordinator,Bangalore,Full Time,Marketing Department,2 Dec 2018,4.0,4.0,4.0,4.0,1.0,4.0,2.0,it was good,late information
Senior Executive,Gurgaon,Full Time,Import & Export Department,1 Oct 2021,4.0,5.0,2.0,2.0,4.0,5.0,2.0,Work life balance,Pay scal is below industry standard
Assistant Manager Planing,Gurgaon,Full Time,Supply Chain Management Department,8 May 2021,5.0,5.0,5.0,5.0,4.0,5.0,5.0,"Excellent work culture, employee friendly.",No Work Life Balance
Marketing And Sellout Manager,Bhubaneswar,,Marketing Department,8 Apr 2021,4.0,2.0,3.0,4.0,3.0,4.0,2.0,Sel,Un discipline
Sales Executive,Gurgaon,,Inside Sales Department,4 Aug 2021,5.0,5.0,5.0,5.0,2.0,5.0,2.0,"No, salary cutting from march 2020. And uts countinues to next july 2021",Work life balance is there
Service Engineer,,,Construction Engineering Department,7 Oct 2019,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Nothing,"It's a shared IT service environment.  Due to the same reason, you will get a chance to know and hands on lots of new technology.  For sure company has aptitude to go with latest technology, but focused to distinct outcome always.  Tight declines always and has some challenge to manage work life balance.  Work culture is good, but still need to excel. Overall, its a good place to develop corporate culture and collaborations....Read More"
Sales Executive,Kochi/Cochin,,Sales Department,2 Jan 2021,4.0,5.0,5.0,5.0,5.0,5.0,5.0,Micro management and poor in motivation. Always very short declines.  All your good works will get unnoticed and not necessary to qualify during performance review.,Over All Good Company
Senior Manufacturing Executive,Jhajjar,,Pharmaceutical & Biotechnology Department,8 Apr 2021,5.0,4.0,4.0,2.0,1.0,2.0,3.0,,
Incident Manager,Bedok,,Software Development Department,1 Dec 2020,4.0,5.0,5.0,5.0,5.0,5.0,5.0,,
Executive,Jhajjar,,SCM & Logistics Department,9 May 2021,5.0,3.0,4.0,3.0,3.0,3.0,2.0,,
,,,,,,5.0,4.0,4.0,3.0,5.0,4.0,,
Assistant Inspection Coordinator,Haryana,Full Time,Production Department,6 Apr 2021,3.0,4.0,1.0,3.0,2.0,4.0,1.0,Their management is good but their is no job security.,Behaviour of upper hierarchy is not so good towards lower employees.
Manager / Sr Manager - Administration,Pune,Full Time,Sales Support & Operations Department,1 Mar 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,It's a good organization to work,Need agressive marketing strategy
Senior Executive Taxation.,Gurgaon,,,0 Mar 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Excellent,To be associated with a company which is in people life since 100 years.
Senior Development Manager,Gurgaon,,Software Development Department,9 Aug 2018,1.0,1.0,2.0,1.0,1.0,1.0,1.0,"I guess Panasonic India is ruining name and fame of Panasonic Globally. Specially Mobile Devices business. Full bunch of idiots at top. Product head doesn't have knowledge and far visibility and a bone less man who is just there to say YES BOSS. Business Head doesn't know how , when and what to speak. Almost zero knowledge of mobiletechnology. They are buying devices from China and labelling with Panasonic. I never ever thought people can destroy a brand name in this way and that too loosing money in business. They don't even know what all product pipeline for next 6-8 months. They couldn't retain mindful people and enjoying Japanese Money as aid with all subordinates who is agree to say YES BOSS, and never appreciate or accept person who's is Professional and Visionary. There are lot of corruption also involved to keep rolling this culture....Read More",Good culture
BMM,Ranchi,,Marketing Department,8 Nov 2021,4.0,3.0,5.0,5.0,5.0,3.0,4.0,Onrole and offrole,Our CEO & president is very transparent about company policies .
AGM Sales - Telecom,Gurgaoan,,Enterprise & B2B Sales Department,6 May 2021,4.0,4.0,4.0,4.0,4.0,5.0,4.0,Salaries are required more,Rul regulations
Operator,Jhajjar,,Pcb  Department,2 Apr 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Working time,Work culture and work life balance
EHS And Corporate Social Responsibility  Lead,Gurgaon,,Corporate Affairs Department,7 Jan 2022,1.0,1.0,2.0,3.0,1.0,1.0,1.0,"Ethical organization, Work culture, Highly Supportive professionally as well as personal level, top management reachable, balancing in professional & personal life.",Slow professional growth
Deputy Manager Sales,"Mega Polis Square, MG Road, Indore",,Enterprise & B2B Sales Department,6 Sep 2022,5.0,5.0,4.0,3.0,5.0,5.0,3.0,Bonding between employees was excellent,Sellery is not enough for casual employees
Lab Operator,Gurgaon,,,0 Nov 2021,5.0,4.0,4.0,4.0,5.0,5.0,3.0,,
Assistant Manager-Raw Material Stores And Logistics,Chennai,Full Time,SCM & Logistics Department,0 May 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Super company proud of you the my job period,This company like our family. And i love our family
Pramoter,Huzurabad,,Pramoter Department,1 Apr 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,MNC,Lack of strategy
Jso,Durgapur,,Enterprise & B2B Sales Department,3 May 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,not at all,"job security,work-life balance"
Area Sales Manager,Dhole Patil Road,,BD / Pre Sales Department,0 Jun 2021,5.0,5.0,4.0,5.0,5.0,5.0,5.0,Everything,Nothing
Team Leader (nontechnical),Bhubaneshwar,,Enterprise & B2B Sales Department,2 Apr 2021,4.0,1.0,3.0,2.0,1.0,1.0,1.0,"Though HO has taken many steps for welfare of the employees, but practically branches are forcing employees to go to market on daily basis as a result of which many employees have been covid-19 positive.","Politics, Less Career growth."
Senior Officer Operations,Gurgaon,,Operations Support Department,3 Sep 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Nothing,Worst experience ever. People here just want boot licking to be done that's it
Deputy Managerr - Channel Sales,Kolkata,,Sales Department,6 Oct 2020,4.0,4.0,4.0,3.0,4.0,3.0,3.0,The culture is brilliant,Long processes
"Junior Officer, CCO",Chandigarh,,Business Intelligence & Analytics Department,7 Sep 2019,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Culture,
Business Head,Gurgaon/Gurugram,,IIC  Department,3 Apr 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,
Business Head,Gurgaon,,Top Management Department,1 Apr 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,
Operations Manager,"Mumbai, Maharashtra",Full Time,Operations Department,0 Jul 2022,5.0,4.0,4.0,4.0,5.0,5.0,5.0,"Panasonic India Pvt ltd is having good working culture. MD Sir personally meet and motivate employees. 
Competitive working culture and you will surely get recognize if you will put efforts and show the results.
I was twice nominated for President award.
I was selected for management training at Indore IIM 
I got superstar award twice","I worked for 6 years in Panasonic India PVT LTD in service dept.
Initially sales driven culture but afterwards it is changed a lot. Panasonic is one of the best workplace to work."
Quality Inspector,New Delhi,Full Time,Credit Card Department,0 Jun 2021,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Good work,Seniors are very supportive in nature
Production Engineer,"Daman & Diu, Daman & Diu",Full Time,Engineering Department,8 Sep 2023,5.0,5.0,4.0,4.0,5.0,5.0,4.0,At some stage new learning get slow,2years
1,Lakhimpur Kheri,,Lakhimpur Department,0 Jul 2021,1.0,5.0,5.0,5.0,5.0,5.0,5.0,2years,I ❤Panasonic
Sales & Marketing,Vijayawada,,Enterprise & B2B Sales Department,9 Apr 2021,5.0,3.0,5.0,4.0,3.0,1.0,4.0,Good &friendly environment,Bangalore
Senior Mis Executive,Gurgaon,,,9 Feb 2021,5.0,5.0,5.0,5.0,5.0,5.0,3.0,Chennai,i like the compny.but restriction add now which i dont like
Software Engineer,Bangalore Rural,,Software Development Department,9 May 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Very nice company,Bonas pay duration of diwali time
