Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
Executive Officer,Pune,Full Time,Production & Manufacturing Department,6 Aug 2023,5.0,4.0,4.0,3.0,4.0,5.0,3.0,Proud,Average increment per anual
Row Executive,"Yadgir, Karnataka",Full Time,supervisor Department,4 Aug 2023,4.0,4.0,4.0,1.0,1.0,4.0,1.0,nice experience and gud organization,no value for work oriented persons
Senior Engineer,"Sitapur, Uttar Pradesh",Full Time,Power Supply and Distribution Department,3 Aug 2023,4.0,4.0,5.0,5.0,4.0,5.0,4.0,Very good working environment,Salary increment low
Assistant Manager,Lucknow,Full Time,Stores & Material Management Department,2 Aug 2023,5.0,5.0,5.0,5.0,3.0,5.0,4.0,Company Culture .........,Uper Management ..........
Territory Sales Manager,"Guwahati, Assam",Full Time,Sales Support & Operations Department,2 Aug 2023,4.0,4.0,4.0,4.0,4.0,4.0,4.0,"Good company ,good work culture",Not at all
Cad Designer,Pune,Full Time,Architecture & Interior Design Department,0 Aug 2023,5.0,5.0,5.0,4.0,5.0,5.0,5.0,Bajaj electricals is best in design,No uniform companies
Engineer,New Delhi,Full Time,Quality  Department,9 Aug 2023,3.0,4.0,2.0,3.0,3.0,3.0,3.0,Good work life balance,Too many changes in decisions
Electrical Maintenance Technician   (working remotely),,Full Time,Diploma in electrical Department,7 Aug 2023,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Prementive maintenance utility mpcb motor star delta,smoking hard working
Srm Manager,Hyderabad/Secunderabad,Full Time,Sales Support & Operations Department,6 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,All type sales to service,Not much policies are changing frequently
Reliance Digital Marketing,Chennai,Full Time,Retail & B2C Sales Department,4 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Good Experience,Salary Credited to Late Very Month
Assistant Manager Electrical Projects,Mumbai,Full Time,Construction Engineering Department,3 Aug 2023,2.0,1.0,1.0,4.0,1.0,1.0,3.0,Salary and benifits.,Hight management Discrimination culture.
Area Sales Manager,Pune,Full Time,Enterprise & B2B Sales Department,2 Aug 2023,2.0,1.0,1.0,3.0,2.0,2.0,1.0,Nothing good to say,Poor mgmt no clear communication
Senior Engineer,"Bengaluru/Bangalore, Karnataka",Full Time,Construction Engineering Department,2 Aug 2023,5.0,4.0,4.0,4.0,4.0,4.0,4.0,Good culture,None good company work life balance
Assistant Manager,"Chakan, Pune",Full Time,Management Department,1 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,All ok only investment required,"No, all ok and at good place"
Head- Product Design Quality And Compliance,"Navi Mumbai, Maharashtra",Full Time,Engineering & Manufacturing Department,0 Aug 2023,5.0,5.0,4.0,4.0,4.0,4.0,4.0,Good traditional culture oriented company.,"Some of the legacy feature , appraisal process could be transparent"
"General Manager,  Product Head - Fan",Mumbai,Full Time,Marketing Department,8 Aug 2023,4.0,4.0,3.0,3.0,4.0,4.0,3.0,Great place to work except the office location,None None None None None
Custer Related Management (CRM)   (working remotely),,Full Time,Other Department,8 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Good communication skills I have learned from CRM,None
Regional Manager CSD - North,New Delhi,Full Time,Retail & B2C Sales Department,8 Aug 2023,5.0,5.0,3.0,4.0,5.0,4.0,4.0,Culture is good here. People care for each other,I feel there is Nothing as such currently
Assistant Manager,Lucknow,Full Time,Business Process Quality Department,7 Aug 2023,4.0,5.0,3.0,4.0,4.0,4.0,3.0,Work life balance,Appraisal process
Graduate Engineer,Pune,Full Time,Production & Manufacturing Department,7 Aug 2023,5.0,5.0,4.0,4.0,5.0,5.0,4.0,Company Culture is too Good.Peoples in Company too good.,Company Policies
Trade Sales Manager,Patna,Full Time,Retail & B2C Sales Department,7 Aug 2023,4.0,4.0,3.0,4.0,4.0,3.0,3.0,Stable job,80 year old company working as new startup
Sales Manager,"Bengaluru/Bangalore, Karnataka",Full Time,Retail & B2C Sales Department,5 Aug 2023,4.0,4.0,2.0,3.0,4.0,3.0,3.0,Nothing specificly great to share,Nothing specificly bad to share
Production Manager,"Nashik, Maharashtra",Full Time,Management Department,5 Aug 2023,5.0,5.0,4.0,4.0,5.0,5.0,4.0,Company System/procedure from In to Out(material conversion),Presence of Union at workplace.
Electrical Engineer,Lucknow,Full Time,Construction Engineering Department,4 Aug 2023,3.0,4.0,3.0,4.0,4.0,4.0,3.0,Timing salary,Offrole employee not good salary and appriseal
Regional Head Of Store Operation,Mumbai,Full Time,Power Supply and Distribution Department,4 Aug 2023,4.0,4.0,4.0,3.0,3.0,3.0,3.0,Provides training from development of new skills as per markets required.,Some of non supportive staff in management.
Graduate Apprentice Trainee,"Pune, Maharashtra",Full Time,Engineering & Manufacturing Department,4 Aug 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Nothing to like,Politics of the company
Senior Accounts Manager,"New Delhi, Delhi",Full Time,Accounting & Taxation Department,4 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Working culture,Nothing as of now
Manager,New Delhi,Full Time,SCM & Logistics Department,4 Aug 2023,4.0,4.0,1.0,5.0,1.0,3.0,1.0,The system regarding salary and other activities through IT is well placed,Management  is not well
Hr Executive And Generalist,Pune,Full Time,Employee Relations Department,3 Aug 2023,3.0,1.0,2.0,2.0,2.0,2.0,3.0,Learnings new things and apply,6 days working Not
Project Engineer,"Maldah/Malda, West Bengal",Full Time,Construction / Manufacturing Department,2 Aug 2023,4.0,5.0,3.0,5.0,3.0,4.0,4.0,Fill like own faimaly.,Job is not secure.
Senior Electrical Engineer,Bihar Lakhisarai,Full Time,Construction Engineering Department,2 Aug 2023,5.0,4.0,5.0,5.0,4.0,4.0,4.0,Good Working Culture,Timely appraisal but promotions issue
Legal Manager,New Delhi,Full Time,Legal Operations Department,2 Aug 2023,3.0,2.0,2.0,3.0,4.0,2.0,3.0,If you want to work they will load you will work,No encouragement and acknowledgment of hard work. They won't promote you inhouse
Data Entry Operator,"Mumbai, Maharashtra",Full Time,Engineering Department,2 Aug 2023,4.0,5.0,4.0,3.0,5.0,4.0,3.0,Yes very good job,No your are good job experience for bajaj electricals
Trade Sales Manager,Lucknow,Full Time,Sales Department,1 Aug 2023,5.0,4.0,5.0,5.0,4.0,5.0,4.0,"Wonderful organisation with great culture
Seniors are very supportive
Management is responsive",Nothing to say
Safety Officer,"Jawhar, Maharashtra",Full Time,Occupational Health & Safety Department,9 Jul 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Execution staff is helpful,"staff of safety department is selfish, arrogant and disrespect supporting staff and employees"
Regional Channel Marketing Head - Consumer Products Division,"Mumbai Suburban, Maharashtra",Full Time,Retail & B2C Sales Department,8 Jul 2023,2.0,3.0,1.0,2.0,3.0,1.0,2.0,Product range is good.,"Culture, environment and policies are not condusive"
Manager-Advertising And Brand Management,Mumbai,Full Time,Marketing Department,7 Jul 2023,3.0,4.0,4.0,3.0,3.0,1.0,2.0,Lot to learn. CEO’s and COO’s vision.,"Culture, Not employee focused"
Store Executive,"Bangalore Rural, Karnataka",Full Time,Construction Engineering Department,7 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Working at Bajaj Electrical very good,NO
Quility Inspection    (working remotely),,Full Time,Engineering Department,7 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Yes I like . good behavior,No anything dislike
Senior Engineer,Mumbai,Full Time,Construction Engineering Department,4 Jul 2023,4.0,3.0,3.0,4.0,3.0,4.0,3.0,All,Appraisal politics.  appraisal is only for who do bucketting.
Site Engineer,"Pune, Maharashtra",Full Time,Engineering Department,2 Jul 2023,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Over all good work culture,No specific dis like at this
Senior Product Manager,New Delhi,Full Time,Category Management & Operations Department,1 Jul 2023,4.0,4.0,3.0,4.0,5.0,3.0,3.0,Great Management Vision,"Culture is team dependent, owing to weak HR"
