Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
Operator,Gurgaon/Gurugram,Contractual,Other Department,1 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,1.0,Maruti Suzuki is very great and kind company who gave ITI students highest salary in all over India and company rules are very good and hygienic food also . During work I have learn very much experience,Smoking areas
Senior Manager,"Lucknow, Uttar Pradesh",Full Time,Sales Support & Operations Department,8 Jul 2023,3.0,3.0,2.0,4.0,4.0,3.0,3.0,Good renumeration and job security,Don't join the organization if self development and job satisfaction is your top priority.
Deputy Manager,Gurgaon/Gurugram,Full Time,Quality Assurance and Testing Department,3 Jul 2023,1.0,1.0,1.0,5.0,5.0,1.0,1.0,Nothing,"If you have been to a government office then this is the place where everything happens likes government institution
Uniform"
Intern,Gurgaon/Gurugram,Intern,Engineering Department,1 Jul 2023,3.0,2.0,1.0,3.0,3.0,1.0,2.0,Nothing to like about. even after studying so hard you will be hearing rubbish language of your seniors and you will be humiliated very much by seniors,nothing at all
Electrical Engineer,Manesar,Contractual,"Operations, Maintenance & Support Department",0 Jun 2023,5.0,4.0,5.0,5.0,1.0,5.0,1.0,Maintenance department  is best,This company keep ITI pass boys only for 1 year then never give chance to join again need some change in it
Temporary Workman,Gurgaon/Gurugram,Contractual,Engineering Department,9 Jun 2023,5.0,3.0,5.0,5.0,5.0,4.0,3.0,Company to bhut achi hein. Salary bhi achi hein. Pr parmanrnt hona bhut muskil hein. Isme sirf 7 month ka contract hota hein Temporary workman ka.,Isme kaam krne baad experience nhi chlta hein. Jyada company mein. Or na hi maruti ki jitni salary de pate hein.
Deputy Manager,"Gurgaon/Gurugram, Haryana",Full Time,Engineering & Manufacturing Department,9 Jun 2023,3.0,1.0,2.0,4.0,5.0,1.0,4.0,"Job Security is good
Pay is good","Extremely toxic culture
Technically incompetent organization
Structure of reporting very poor
Extremely long working hours 10 hrs 5 days a week
No flexibility"
Fire  Safety Supervisor,Gurgaon/Gurugram,Contractual,Occupational Health & Safety Department,7 Jun 2023,3.0,3.0,2.0,1.0,5.0,1.0,1.0,Maruti suzuki has work satisfaction and job secure till own working.,No salary increase like Maruti employee. No promotion.. Company culture is bad.
Manager,New Delhi,Full Time,Data Science & Machine Learning Department,7 Jun 2023,2.0,1.0,1.0,1.0,3.0,1.0,1.0,Stable job,"Work life balance is not good you spend a 9.5 hr workshift as a norm
They have a punch in punch out culture
Ruined my skillset
No new resource wants to join here because  they are not flexible with salary and work from home"
Service Advisor Engineer,"Pune, Maharashtra",Full Time,After Sales Service & Repair Department,6 Jun 2023,3.0,3.0,5.0,4.0,4.0,4.0,4.0,A learning attitude person can learn alot....Even about the types of people around us...,If you dont balance your work and personal life you will be very tired.....
Casual Worker,Manesar,Contractual,Data Science & Analytics Department,1 Jun 2023,4.0,4.0,4.0,4.0,4.0,4.0,4.0,"Maruti company is a very good place for any person to settle their life, Maruti company takes very good care of its workers, health, safety and all working equipment.",No
Network Engineer,Gurgaon/Gurugram,Contractual,IT Support Department,1 Jun 2023,4.0,2.0,3.0,4.0,3.0,4.0,3.0,Things I like about Maruti Suzuki is that you can get good job after leaving.,You can't enjoy your Personal life if you are working as a third party person in their premises.
Department Manager,Manesar,Full Time,Procurement & Purchase Department,1 Jun 2023,3.0,1.0,2.0,3.0,3.0,2.0,2.0,Nothing except market brand value.,"Too many to be said:-
1) Corporate Politics.
2) Old Software’s without integration. 
3) Long working hours and pressure.
4) Long hirarchy."
Manager,New Delhi,Full Time,Sales Support & Operations Department,0 Jun 2023,3.0,2.0,2.0,3.0,5.0,3.0,3.0,"Job security
Determination to be a clean company
Desire to be number 1 in the industry
Egalitarian approach to non work related activities
Salary better than other OEMs
Flexi Timings","Lack of new energy at senior levels (No lateral hiring)
Precedence given to years of service over work done
Unclear standards for promotions at mid-senior level
Lack of training of most managers"
Territory Service Manager,"Jaipur, Rajasthan",Full Time,After Sales Service & Repair Department,9 Jun 2023,4.0,3.0,3.0,5.0,5.0,3.0,3.0,Great opportunity to travel and interact with dealer professionals who has vast experience in industry.,No technical growth and monotonous environment after certain years of working.
Production Engineer,"Manesar, Haryana",Full Time,Other Department,3 Sep 2023,1.0,1.0,1.0,2.0,4.0,2.0,1.0,"Job security
Company is growing.",HR policies are not fare band wise. Laternal gets less chance to grow here. Thanks!!
Territory Service Manager,"Guwahati, Assam",Full Time,After Sales Service & Repair Department,7 Jul 2023,1.0,1.0,2.0,3.0,4.0,1.0,3.0,Job security and Medical policies are really really Good,They can transfer you in any corner of Earth with taking any prior location priority.They treat you as machine without emotions
Deputy Manager,Gurgaon/Gurugram,Full Time,SCM & Logistics Department,9 Jun 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Horrible place to work at. HR is not proficient at all. Mental torture. Human beings are treated pathetically.,The company and its middle management
Cnc Machine Operator,Manesar,Full Time,"Operations, Maintenance & Support Department",6 Sep 2023,4.0,2.0,4.0,4.0,4.0,5.0,3.0,Work,Not permanent job give us
Qa Qc Engineer,Gurgaon/Gurugram,Full Time,Engineering Department,6 Sep 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Weldone work no pressure any main power,Nothing
Team Manager,Gurgaon/Gurugram,Full Time,SCM & Logistics Department,6 Sep 2023,5.0,4.0,3.0,3.0,3.0,3.0,3.0,Manager vision should be more specific.,DPO/DPM behavior is very rude towards subordinates.
Relationship Manager,"Dhanbad, Jharkhand",Full Time,Sales Support & Operations Department,5 Sep 2023,1.0,2.0,1.0,1.0,1.0,1.0,2.0,No compeny support,No any type of incriminating
Technician,"Navi Mumbai, Maharashtra",Full Time,"Operations, Maintenance & Support Department",5 Sep 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Nothing,I don't know why
Mechanic   (working remotely),,Full Time,Other Department,5 Sep 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Maruti Suzuki engine kar mechanic engine,Engine parts change
Management Executive,Gurgaon/Gurugram,Full Time,Operations Department,5 Sep 2023,4.0,4.0,4.0,4.0,5.0,4.0,4.0,Good Company to Work For,Less Job Role Clarity
Commercial Officer,"Lucknow, Uttar Pradesh",Full Time,Other Department,4 Sep 2023,2.0,1.0,1.0,1.0,2.0,1.0,2.0,Very fantastic company,Like this
Junior Mechanical Engineer   (working remotely),,Part Time,Engineering Department,4 Sep 2023,5.0,4.0,5.0,5.0,4.0,5.0,5.0,Yes I like thish company,No
Electrician,Gurgaon/Gurugram,Part Time,After Sales Service & Repair Department,4 Sep 2023,4.0,4.0,5.0,5.0,4.0,5.0,4.0,Best company and best fisilty,No
Production Manager,Gurgaon/Gurugram,Full Time,"Operations, Maintenance & Support Department",4 Sep 2023,4.0,4.0,3.0,4.0,4.0,4.0,3.0,Job security.,Growth and learning is decreasing at middle management.
