Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
Sales Manager,Bangalore/Bengaluru,Full Time,BD / Pre Sales Department,9 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Rapid expansion kjsjs,
Quality Engineer,"Vadodara, Gujarat",Full Time,Production Department,9 Jul 2023,4.0,3.0,5.0,4.0,4.0,4.0,4.0,Yes ofcourse very nice company,"No very nice company, atmosphere"
Senior Design And Planning Engineer,New Delhi,Full Time,Construction Engineering Department,9 Jul 2023,4.0,4.0,3.0,3.0,4.0,4.0,3.0,Ethics,Salary was not as good as compared to market
Project Executive,Jamshedpur,Full Time,Construction / Manufacturing Department,7 Jul 2023,5.0,5.0,5.0,5.0,2.0,5.0,2.0,Good feel proud 😊😊😊,Nothing 😞
Site Supervisor,"Hosur, Tamil Nadu",Full Time,Construction Engineering Department,4 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,I like work cultures,No nagative comments...
Operation And Maintenance Engineer,Jamshedpur,Full Time,Other Department,0 Jul 2023,4.0,3.0,5.0,4.0,5.0,4.0,3.0,Good culture of working.,Timing issue.
Civil Site Engineer,"Sambalpur, Odisha",Full Time,Other Department,0 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Excellent performance salary time is very good.,Staff are not good and not decipline worked.
Sap Operator,"Faridabad, Haryana",Full Time,Back Office Department,8 Jul 2023,5.0,5.0,3.0,3.0,3.0,5.0,3.0,It's a nice place to work and learn,Slow growth and low salary
ASSISTANT DESIGN ENGINEER ELECTRICAL,Mumbai,Full Time,Construction Engineering Department,8 Jul 2023,4.0,4.0,5.0,4.0,4.0,5.0,4.0,Good company for Freshers,Growth of an employee must be Little faster
Sales Engineer,Mumbai,Full Time,Sales Support & Operations Department,8 Jul 2023,3.0,3.0,3.0,2.0,5.0,3.0,3.0,Tata's brand and name,Less growth in pay and work profile
Voltas Pvt LTD,Ulsoor,Full Time,After Sales Service & Repair Department,7 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Im very glad to work with voltas it's such amazing experience they support alot,I love voltas nothing is there to tell
"Sr, Project Manager",Kolkata,Full Time,Engineering Department,6 Jul 2023,4.0,4.0,3.0,3.0,5.0,2.0,1.0,timely salary from the company,nothing over all ok not so good
Civil Engineer   (working remotely),,Contractual,Engineering Department,5 Jul 2023,5.0,4.0,4.0,5.0,4.0,4.0,4.0,Good Manegement. Good Working atmosphere.,No
Manager,Mumbai,Full Time,Construction Engineering Department,4 Jul 2023,4.0,3.0,4.0,3.0,4.0,3.0,3.0,Good company to work,Work life balance is not their
Area sales manager,"Hyderabad/Secunderabad, Telangana",Full Time,Sales Support & Operations Department,3 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Very good Company
Work culture is good",Nothing
Counter Sales Executive,"Gurgaon/Gurugram, Haryana",Full Time,Retail & B2C Sales Department,3 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Everything is good,Nothing to dislike
Store Assistant,"Sultanpur, Uttar Pradesh",Contractual,Stores Department,4 Jul 2023,4.0,4.0,4.0,5.0,4.0,4.0,4.0,Management System is very good,Every thing is good and well
Senior Safety Officer,Mumbai,Full Time,Engineering Department,0 Jul 2023,5.0,5.0,4.0,4.0,5.0,4.0,3.0,nothing to dislike at all,Corporate .................................okokomomkkmmmmmmmm
Manager Electrical Service,"Indore, Madhya Pradesh",Full Time,Service Delivery Department,9 Jul 2023,3.0,2.0,4.0,1.0,5.0,3.0,3.0,Working  ............................... working working working,Thumbs up. Professional workmates
Engineer,Saudi Arabia,Full Time,Construction Engineering Department,8 Jul 2023,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Thumbs down. Not much welfare.,Work Life Balance at Regional & Head Offices
Planning Manager,"Bhubaneswar, Odisha",Full Time,Construction Engineering Department,8 Jul 2023,4.0,5.0,2.0,2.0,5.0,5.0,2.0,Less salary compared to industrial standards.,
Hvac Technician,New Delhi,Full Time,Production & Manufacturing Department,6 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Yes I am like working with voltas,Some people behavior not good.
Sr. Account Executive,"Mumbai, Maharashtra",Full Time,Finance Department,7 Sep 2023,2.0,2.0,3.0,2.0,5.0,5.0,1.0,Job security is good,Promotion and appraisal not good
Engineer,"Rudrapur, Uttarakhand",Full Time,Production & Manufacturing Department,5 Jul 2023,4.0,4.0,4.0,3.0,4.0,3.0,4.0,Yes I am like this job,No working is good for voltas
Site Engineer,Jamshedpur,Contractual,Construction Engineering Department,6 Jul 2023,4.0,4.0,4.0,3.0,2.0,3.0,3.0,Fixed payment time,No reason
Refrigeration And Air Conditioning Mechanic,New Delhi,Full Time,Business Process Quality Department,5 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Voltas company bahut acchi company hai kam karne mein bahut achcha lagta hai ulta uska,Not
Manager -procurement,Mumbai,Full Time,Procurement & Purchase Department,4 Jul 2023,4.0,4.0,3.0,4.0,4.0,3.0,2.0,Freedom   in time salary,"Orthodox ,old culture ,low apprisal,"
Assistant Manager,"Ahmedabad, Gujarat",Full Time,Quality assurance Department,4 Jul 2023,5.0,5.0,4.0,4.0,5.0,4.0,4.0,"Overall work life balance.
Anyone can survive.",Long term not benifit.
Assistant Manager,Mumbai,Full Time,Engineering Department,4 Jul 2023,4.0,4.0,3.0,2.0,5.0,5.0,3.0,Work life balance,"Payscale, Limited scope of learning"
HVAC Site Manger,"Mumbai, Maharashtra",Full Time,"Operations, Maintenance & Support Department",4 Jul 2023,4.0,4.0,5.0,3.0,5.0,5.0,3.0,Nice experience best plaform to learn and,"No increment, government type office and culture"
Assistant Manager Indirect Tax,Kolkata,Full Time,Accounting & Taxation Department,3 Jul 2023,4.0,4.0,4.0,4.0,5.0,4.0,3.0,TATA group of Company everythig is good,Nothing to dislikes
Ac Technician   (working remotely),,Part Time,Back Office Department,2 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,This is soo good,Nothing
Treasury Manager,New Delhi,Full Time,Banking Operations Department,1 Jul 2023,5.0,5.0,3.0,1.0,5.0,5.0,4.0,I like everything’s,Salary and increment
Sales Officer   (working remotely),,Contractual,Back Office Department,0 Jun 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Office cultureis good,Nothing to dislikes
Sales Coordinator Team Lead,Mumbai,Full Time,"Operations, Maintenance & Support Department",8 Jun 2023,3.0,3.0,4.0,2.0,5.0,4.0,3.0,Good culture,"Increment happening very late & if you in offroll ,onroll chances very less."
Commercial Manager,"Ahmedabad, Gujarat",Full Time,Finance Department,7 Jun 2023,4.0,5.0,2.0,3.0,4.0,3.0,2.0,Work life balance,"Appraisals , promotion, salary, career growth"
