Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
Accounting Specialist,Chennai,Full Time,Finance Department,9 Feb 2023,4.0,5.0,3.0,3.0,4.0,4.0,3.0,Work life balance,No recognition
Inprocess Inspector,Chennai,Full Time,IT Network Department,0 Mar 2023,4.0,3.0,3.0,2.0,3.0,3.0,2.0,Line inspection good,Incoming quality poor
Software Technologist 2,"Bengaluru/Bangalore, Karnataka",Full Time,Software Development Department,9 Feb 2023,5.0,5.0,4.0,4.0,4.0,4.0,4.0,Work life balance,No new technology
Program Manager,"Bengaluru/Bangalore, Karnataka",Full Time,Information Technology Department,4 Nov 2022,4.0,4.0,3.0,4.0,3.0,4.0,3.0,Culture and mission,Tedious Processes - time consuming and no clarity even at Director level
Senior Project Manager,"Pune, Maharashtra",Full Time,Technology / IT Department,4 Feb 2023,5.0,4.0,3.0,4.0,3.0,4.0,4.0,Iits nice to work here,Streched working hours
Clinical Application Specialist,"Gurgaon/Gurugram, Haryana",Full Time,,9 Oct 2022,1.0,1.0,1.0,2.0,1.0,1.0,1.0,Nothing,"Waste of my one year time, career and health.
Did completed more than 30 sites handover and still I was terminated by contract.
Your company just extracted and used my knowledge and skills for your sake."
Demand & Supply Planning Lead,Pune,Full Time,"Operations, Maintenance & Support Department",3 Jun 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Nothing,"No learning.
No culture"
Amman Agencies    (working remotely),,Full Time,Life Insurance Department,9 Apr 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Very good,Nothing bad
Hr Specialist,Chennai,Full Time,Banking Operations Department,4 Mar 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,I love.,Nothing to hate.
Software Technologist 1,"Bengaluru/Bangalore, Karnataka",Full Time,Software Development Department,7 May 2022,2.0,2.0,3.0,3.0,5.0,2.0,3.0,The good thing about Philips is there is a lot to learn about the medical domain and great opportunities on how you can advance your career. Good pay.,Politics. Bangalore management has no say whatsoever. The projects keep getting shut down. The flexible pay is heavily dependent on the Philips market which is very bad currently. There are people who have been working for 10+ years in the organization and they do not want to change.
Manager,"Chennai, Tamil Nadu",Full Time,Finance Department,2 Dec 2022,4.0,5.0,1.0,5.0,1.0,1.0,3.0,Quite flexible in working patterns,Leadership! They dont care about attrition when it comes to sacrificing their ego
Inside Sales Executive,"Gurgaon/Gurugram, Haryana",Full Time,Imaging & Diagnostics Department,5 Jan 2023,5.0,5.0,3.0,5.0,5.0,5.0,5.0,Work life balance,Nothing to dislike about it
Test And Validation Lead,"Bengaluru/Bangalore, Karnataka",Full Time,Quality Assurance and Testing Department,8 Dec 2022,3.0,3.0,2.0,4.0,3.0,4.0,3.0,"Hierarchy less company ,have open to talk",Process clarity and roles and responsibilities clarity missing
Quality Engineer,"Pune, Maharashtra",Full Time,Quality Assurance and Testing Department,5 Feb 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Work culture good.supportive staff.,Ntg
Sales Manager,Hyderabad,Full Time,BD / Pre Sales Department,7 Mar 2023,5.0,5.0,5.0,5.0,3.0,4.0,5.0,"Culture, Benefits, Work - Life Balance.",People.
Project Manager,"Pune, Maharashtra",Full Time,Project & Program Management Department,8 Jan 2023,3.0,3.0,3.0,4.0,2.0,2.0,2.0,other functional team are supportive.,Reporting Manager follow only top down approach and not really value his sub-ordinates and their expertise at PM function.
Manager Mech Maint,"Vadodara, Gujarat",Full Time,,8 Dec 2022,4.0,4.0,4.0,5.0,3.0,2.0,5.0,Systematic way of working,Current company culture
Software Engineer Ii,"Bengaluru/Bangalore, Karnataka",,Business Intelligence & Analytics Department,0 Dec 2022,4.0,5.0,3.0,4.0,4.0,4.0,4.0,Unlimited sick leave. WLB. Flexibility.,Appraisals.
Product Security Specialist,Bengaluru/Bangalore,,IT Security Department,9 Apr 2022,4.0,5.0,5.0,3.0,5.0,5.0,5.0,"Like every other company, after joining you will not get good hikes compared to the market and the management will be least bothered to do a market correction.
If slow monetary growth is fine for someone, then an individual working at Philips will have no other issues as other aspects in terms of learning, WLB, opportunities will be ample.","As I mentioned earlier, Philips lacks in compensating an individual who knows nook n corner and adds lots of value to the organization."
Quality Inspector,Chennai,Full Time,"Operations, Maintenance & Support Department",1 Jul 2023,5.0,3.0,5.0,4.0,4.0,5.0,4.0,Increase my knowledge and communication,Salary
Consultant,Bengaluru/Bangalore,Full Time,IT Consulting Department,0 Feb 2023,4.0,3.0,4.0,5.0,3.0,4.0,4.0,Teammates,Work life balance
Devops Engineer,"Bengaluru/Bangalore, Karnataka",Full Time,Software Development Department,5 Aug 2022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,I don't have like anything.,"I am getting the health issues after 6 months, i came with advanced technologies but they were deployed in old technologies. Too much work. Pressurized environment. Manager is won't change the project even if you have asked many times . Bloody culture..if you want live ... leave the philips"
Consumer Supporting Engineer,"New Delhi, Delhi",Full Time,Lending Department,8 Apr 2023,4.0,3.0,3.0,2.0,2.0,4.0,2.0,Good & experienced people work here,"3rd party employee not satisfied, they have no growth"
Branch Manager,"Lucknow, Uttar Pradesh",Full Time,Retail & B2C Sales Department,3 Feb 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Work culture,Nothing as such
Accounting Specialist,"Chennai, Tamil Nadu",Full Time,Payroll & Transactions Department,7 Dec 2022,4.0,3.0,4.0,4.0,5.0,5.0,4.0,Company culture,Work life balance
Sales Executive,"Muzaffarpur, Bihar",Full Time,,8 Jan 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"I Am Very Happy Working 
In This Company",Ohh
Senior System Engineer,"Pimpri-Chinchwad, Maharashtra",Full Time,Product Management - Technology Department,3 Oct 2022,4.0,5.0,3.0,4.0,4.0,5.0,3.0,It's offers a good environment to work.  Product based learnings are less.,Timelines are always crunched for projects.
Finance Specialist,"Chennai, Tamil Nadu",,Accounting & Taxation Department,3 Jan 2023,5.0,5.0,5.0,4.0,5.0,5.0,5.0,"Team Unity & Work Life Balance.
Importance to Employees wellbeing",Salary is not as per Cost of living from my view
Software Developer,Bengaluru/Bangalore,,Software Development Department,1 Jul 2023,4.0,5.0,3.0,5.0,3.0,4.0,4.0,work life balance,Not avaliable
Architect,Bangalore,Full Time,Software Development Department,1 Feb 2022,4.0,3.0,5.0,4.0,3.0,3.0,4.0,"Most people are long timers which indicates Job Security.
Quality of work is excellent, however the amount of work depends on team.
Work-life Ballance can take a dip if one is part of a few specific teams.
Company policies and politics are usual, unlimited sick leaves(with genuine reasons/proof) stands out.","Remote work is being discouraged, which I found a little odd given the excellent technical staff.
Office is dated, does not reflect the brand image."
Software Developer,"Bengaluru/Bangalore, Karnataka",Full Time,Software Development Department,0 Sep 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Good Work culture.
Good Salary.
Challenging work, learning and growing opportunity",There nothing to dislike
Program Manager -SSD NPI,"Bengaluru/Bangalore, Karnataka",Full Time,Service Department,2 Nov 2022,5.0,5.0,4.0,4.0,4.0,5.0,4.0,Work culture and leave policy,Least employee engagement activities
Team Manager,"Bengaluru/Bangalore, Karnataka",Full Time,,0 Aug 2022,4.0,4.0,3.0,4.0,2.0,3.0,2.0,"Good environment, salary before time.","No travel opportunities, Internal opportunities are for name sake and don't work as seamless as it is presented. No job security can throw without prior notice."
IT Platform Analyst,"Bengaluru/Bangalore, Karnataka",Full Time,Accounting & Taxation Department,4 Mar 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Appraisals, Salary, increments,","Management process, work culture,"
Platform Analyst-TechLead:Platform Performance,"Bengaluru/Bangalore, Karnataka",Full Time,Service Delivery Department,5 Oct 2022,4.0,4.0,3.0,4.0,2.0,4.0,3.0,Innovation in consumer electronics space.,E2E business processes are decades old.
Software Engineer,Bengaluru/Bangalore,Full Time,IT Security Department,0 Mar 2023,3.0,4.0,2.0,3.0,1.0,2.0,2.0,"Unlimited sick leaves, wfh policies","Too many reorganization, does not have plan post reorg"
Product Industrialization Engineer,"Pune, Maharashtra",Full Time,NPI Department,1 Aug 2022,5.0,5.0,5.0,4.0,5.0,5.0,5.0,"Work is culture is very good, cant ask for more. Work life balance is really balanced. People are accommodating and will guide you to lead your way.",Notice period is 3 months
Senior Software Engineer,Manyata Tech Park,Full Time,Software Development Department,4 Jul 2022,4.0,5.0,5.0,4.0,5.0,4.0,4.0,Can pick up anything we want and work on it in some teams. And the health cover is good. Work life balance is also quite good. We can change the team without much hassle after 2 years in a team,In some teams there is quite a bit of politics. And workload depends on the team also.
Senior Data Engineer,"Chennai, Tamil Nadu",,Software Development Department,0 Nov 2022,4.0,5.0,3.0,4.0,2.0,4.0,3.0,Work Life Balance and the benefits they provide.,"Mundane jobs, no proper growth and no clear vision."
Security Analyst,Bengaluru/Bangalore,Full Time,IT Security Department,0 Apr 2023,5.0,5.0,5.0,2.0,5.0,5.0,5.0,Work culture is very good,Salary not up to the mark
Order Fulfillment Specialist,"Chennai, Tamil Nadu",Full Time,SCM & Logistics Department,8 Feb 2023,4.0,3.0,4.0,4.0,2.0,4.0,3.0,Company culture,No job security
Senior System Architect,Pune,Full Time,,7 Jul 2022,3.0,4.0,3.0,5.0,4.0,3.0,3.0,"Work-life balance, Salary and job security",Not innovative and still follow old architecture. Resistance to change and new ideas. Most of the leaders in my department are from non medical device background and doesn't understand the importance of right people at right job.
Marketing Officer,Pune,Full Time,"BFSI, Investments & Trading Department",1 Feb 2023,4.0,4.0,4.0,4.0,4.0,5.0,5.0,Good company,Good company
Lead Product Owner,Bengaluru/Bangalore,Part Time,Business Intelligence & Analytics Department,2 Feb 2023,3.0,3.0,4.0,5.0,3.0,3.0,3.0,Flexibility,Layoffs in 2022
Electrical Get,Bengaluru/Bangalore,Full Time,"Investment Banking, Private Equity & VC Department",8 Jun 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,All Good,Nothing as such
Test Engineer,"Pune, Maharashtra",Full Time,Quality Assurance and Testing Department,2 Dec 2022,4.0,4.0,4.0,3.0,3.0,4.0,3.0,"Good salary , good working culture",Job security
Financial Planning Analyst,"Chennai, Tamil Nadu",Full Time,,8 Oct 2022,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Good opportunities to grow and wide range of trainings available to improve.,Politics and sometimes lack of planning in work allocation
Solution Designer- Architect,Bengaluru/Bangalore,Full Time,Operations Department,3 Jan 2023,5.0,4.0,4.0,4.0,4.0,4.0,4.0,"Work life balance, Culture and benefits",Nil
Tpm,Bengaluru/Bangalore,,Other Department,6 Jul 2023,3.0,1.0,5.0,4.0,2.0,1.0,1.0,Brand name,Some leaders are not upto the mark
Assistant Manager,Pune,Full Time,Operations Support Department,7 Aug 2023,5.0,1.0,2.0,5.0,2.0,1.0,2.0,No,"Work life balance , very high work pressure"
Software Technologist 1,Bengaluru/Bangalore,Full Time,Software Development Department,6 Jan 2023,5.0,5.0,5.0,2.0,1.0,5.0,3.0,Good work culture and great learning,No job security
General Manager,"Bengaluru/Bangalore, Karnataka",Full Time,Procurement & Purchase Department,6 Jun 2022,1.0,1.0,1.0,3.0,1.0,1.0,1.0,Nothing positive as the work culture is too toxic for anyone to prosper.,"No standard process 
Un necessary meetings
Join work life balance ... you are asked to work 7 days a week continuously week after week
Not recommended for anyone
There are lots if companies in the market one can work for but not this"
Diploma Trainee Engineer,Chakan Pune,Full Time,,3 Dec 2022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"If you are a girl you can copulate and have affair with  managers and seniors to get easy promotions. not good for hard working, sincere boys.",no promotions or growth
Research Associate Ii,"Bengaluru/Bangalore, Karnataka",Full Time,,0 Dec 2022,4.0,5.0,3.0,4.0,5.0,4.0,4.0,Good work life balance,Time to market
Long Arm Sales Person,Ghy,Full Time,Retail & B2C Sales Department,8 Oct 2022,3.0,4.0,3.0,2.0,3.0,4.0,3.0,"Never give salary on time, no one respond from Agency end regarding salary.
Regarding reimbursement claim its worst.",Salary never on time.
Team Manager,Chennai,Full Time,Finance Department,2 May 2023,4.0,4.0,4.0,4.0,5.0,4.0,4.0,Great culture,None to mention
Software Engineer,Bengaluru/Bangalore,Full Time,Software Development Department,0 Jan 2023,3.0,4.0,3.0,3.0,4.0,3.0,3.0,Great place to do coasting.,"Boring tech stack, and non-existent outings and employee engagement."
Customer Service Executive,"Noida, Uttar Pradesh",Full Time,Imaging & Diagnostics Department,9 Oct 2022,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Nice  working way of the Philips,Off roll so un like
Field Service Engineer,"Chennai, Tamil Nadu",,"Operations, Maintenance & Support Department",1 Sep 2022,4.0,4.0,4.0,4.0,5.0,3.0,4.0,It's good for employe career growth,Till date all going good here
Lead Developer,Bengaluru/Bangalore,Full Time,Software Development Department,3 Mar 2023,4.0,5.0,3.0,4.0,4.0,5.0,3.0,Work life,No as such
Test Designer,Pune,Full Time,Engineering & Manufacturing Department,4 Nov 2022,4.0,5.0,5.0,5.0,4.0,5.0,5.0,Work culture,Noting as of now
Head Of Product Industrialization,"Pune, Maharashtra",Full Time,Construction / Manufacturing Department,0 Jan 2023,5.0,5.0,4.0,4.0,4.0,4.0,4.0,Best place to work,Process simplification
Philips MNC Company,HP Chowk Malungi Chakan,Full Time,Electrical diploma  Department,4 Oct 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,This company is very beautiful and in this companys employees are to honest and supportive 👍,Nothing
Regional Trainer,Kolkata,Full Time,Retail Department,7 Oct 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Very good work culture,Till now nothing
Marketing Officer,Jammu,Full Time,Enterprise & B2B Sales Department,6 Mar 2023,2.0,3.0,3.0,1.0,5.0,4.0,3.0,Salary time to time,Salary issue and no holiday  in national holidays
Pmo Analyst,"Bengaluru/Bangalore, Karnataka",Full Time,,2 Oct 2022,4.0,4.0,5.0,3.0,4.0,5.0,3.0,"Great working culture, open for opportunities, supportive management, work life balance",Work Culture
Deputy General Manager,"Mumbai, Maharashtra",Full Time,Retail & B2C Sales Department,7 Oct 2022,4.0,5.0,4.0,5.0,5.0,5.0,4.0,Process slowing speed at times.,Philips culture and it is my first company who teaches me lot about professional work and help me to grow in my career
