Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
Hvac Engineer,Neemrana,Full Time,Production Department,1 Aug 2023,5.0,4.0,5.0,3.0,5.0,5.0,4.0,Company culture are very good and good working environment,Salary growth is very slow
Management Staff,"Chennai, Tamil Nadu",Part Time,Accounting & Taxation Department,6 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Super company super co workers all super,Nothing wrong everything is good
Assistant Engineer,"Sri City, Andhra Pradesh",Full Time,Production & Manufacturing Department,5 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,4.0,Good organization,Promotion not given timely
Commercial Incharge,"Pune, Maharashtra",Full Time,Accounting & Taxation Department,4 Jul 2023,4.0,4.0,4.0,2.0,5.0,3.0,3.0,"Team support, environment is good. Highly recommended for good work.","Job pressure, salary structure ."
Warehouse Engineer,"Sri City, Andhra Pradesh",Full Time,SCM & Logistics Department,9 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Job security & company culture good 👍,No
Deputy Manager,"Ahmedabad, Gujarat",Full Time,"Operations, Maintenance & Support Department",7 Jul 2023,5.0,4.0,5.0,3.0,4.0,2.0,3.0,"Enhanse skill & knaowladge, Also product improvement",No
Junior Engineer,Neemrana,Full Time,Production Department,4 Jul 2023,5.0,5.0,4.0,3.0,5.0,5.0,3.0,"Job security, company culture, senior behaviour etc",No
Junior Engineer,Neemrana,Full Time,Production & Manufacturing Department,3 Jul 2023,4.0,3.0,3.0,2.0,5.0,4.0,3.0,Job security,Salary  is not good
Cro Executive,New Delhi,Full Time,Non Voice Department,8 Jul 2023,5.0,3.0,5.0,3.0,5.0,5.0,3.0,I am a employee of Daikin company it's give me name and fame,Best way to grow up your carrier
Junior Engineer,Neemrana,Full Time,Quality Assurance and Testing Department,5 Jul 2023,4.0,4.0,3.0,2.0,5.0,4.0,3.0,good environment also culture,low salary
Assistant Manager,New Delhi,Full Time,Sales Support & Operations Department,5 Jul 2023,3.0,2.0,2.0,2.0,4.0,2.0,2.0,World's no company in Air-conditioning,Work culture
