Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
Sales Executive,Guntur,,Retail & B2C Sales Department,7 Jun 2022,4.0,3.0,4.0,4.0,4.0,4.0,3.0,Intime salary and well trained trainers,Nothing
Sales Executive,Surat,,BD / Pre Sales Department,6 May 2022,5.0,5.0,5.0,5.0,4.0,4.0,3.0,Best experience,I just want to say thate u have to promote your oldest employee with good position and value. Thank uu
Service Engineer,Hyderabad/Secunderabad,,"Operations, Maintenance & Support Department",2 Feb 2022,4.0,4.0,4.0,4.0,3.0,3.0,4.0,"Iam working on this company since 2 years
On role job is very good not to join authorised service centre","Rules are strict all over good 
Little pressure"
Regional Sales Officer,Kochi/Cochin,,Marketing Department,6 May 2022,5.0,4.0,4.0,5.0,5.0,5.0,5.0,Management work culture company policies is very very good 👍,Very Good environment to work in LG
Store Sales Executive   (working remotely),,,Retail & B2C Sales Department,2 Jul 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Nothing,
Logistics Executive,Graternoida,Full Time,Exim team 350000 Department,7 Dec 2022,5.0,4.0,4.0,4.0,5.0,5.0,5.0,Lg Electronics is a bast company to wark,No
Assistant Manager,"Hyderabad/Secunderabad, Telangana",Full Time,Retail & B2C Sales Department,7 Jul 2022,3.0,3.0,3.0,3.0,4.0,3.0,3.0,Job Security is there,Too many to mention
Senior Mis Executive,Greater Noida,Full Time,Consumer finance Department,4 Apr 2022,1.0,1.0,1.0,3.0,4.0,1.0,1.0,It's nothing company here work life is very bad,Never join in feature and also not prafair any one
PLC HMI And New Projects Handling,Pune,Full Time,Engineering Department,4 Mar 2023,2.0,1.0,2.0,2.0,4.0,1.0,2.0,Got to learn documentation and presentation skills .,"Poor management, and toxic work culture. Constant work pressure."
Mis Supply Chain Executive,Noida Sec 16,Full Time,,4 Aug 2022,3.0,2.0,4.0,3.0,2.0,3.0,2.0,Good learning,Internal team is very huge politics of department and managment ..Do not any strict action of HR
Back Office Staff,Amravati,Full Time,Back Office Department,1 Jul 2022,5.0,5.0,5.0,3.0,2.0,5.0,1.0,Company is good but no any thing for employees,"Company strategy ,focus , aim, working style"
Sales Officer,Udaipur,Full Time,Enterprise & B2B Sales Department,7 Apr 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,There is no any dislike type working which i explain,Lg company all member are very helpful and very  supportive
Sales Executive,Ahmedabad,,Enterprise & B2B Sales Department,0 Jun 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,No words,Working culture
Team Leader,"Madurai, Tamil Nadu",,,2 Dec 2022,4.0,4.0,5.0,4.0,4.0,5.0,3.0,Appraisal is not enough,Working experience very Good
Brand Shop Sales Officer,New Delhi,,Marketing Department,5 Jun 2022,5.0,3.0,5.0,5.0,5.0,5.0,3.0,Time management & Carrier Growth,
Production Trainee,Karnal,Full Time,Sales Training Department,7 Jun 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Company employees support power,Nothing
Get,Pune,Full Time,Development planning  Department,7 May 2022,4.0,2.0,3.0,3.0,3.0,4.0,3.0,"As GET, Job security is less. Depends on performance.",Best place to work. Global processes & capabilities exposure
Factory Head,Greater Noida,Full Time,Production & Manufacturing Department,9 Jun 2022,5.0,5.0,5.0,4.0,5.0,5.0,5.0,Employees Policies and Facilities are far Better than any Manufacturing Companies,"Time management ,Late Sitting and Increment is 10%"
Assistant Manager,"Greater Noida, Uttar Pradesh",Full Time,,8 May 2022,4.0,3.0,5.0,5.0,4.0,5.0,5.0,Company policies and work culture exllent management of work,Nothing
Service Manager 2,Kolhapur,,,6 May 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,You have Job security if you are working with dedication and positove approach.,"Late sitting , sometimes even upto 9 or 10 pm."
Assistant Manager,Greater Noida,,Procurement & Purchase Department,8 Apr 2022,4.0,3.0,3.0,4.0,5.0,4.0,4.0,Yes I like the company at LG electronics India Pvt Ltd,No
Dispatch Supervisor,Kandlakoya Village Medchal Hyderabad 501401,,"Operations, Maintenance & Support Department",8 Dec 2022,4.0,4.0,4.0,3.0,4.0,5.0,3.0,"Great place to work 
good salary package",No issue found in past 5 year
Assistant Manager,Greater Noida,,Engineering Department,4 Apr 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"I love LG, overall culture, management, company policy are too good.","Line running on weekly off day, which off days decided by the company."
Dei Fitter Tool Room,"Greater Noida, UP",,"Operations, Maintenance & Support Department",8 May 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,None,"Culture , Appraisals and rating structure"
Key Account Manager - E Commerce Business,"Noida, Uttar Pradesh",,E-commerce  Department,4 Aug 2022,2.0,2.0,2.0,3.0,4.0,1.0,2.0,,
Sales Executive   (working remotely),,Full Time,,7 Aug 2022,5.0,3.0,4.0,4.0,4.0,4.0,3.0,Incentive is very good in this company,There have not permoted to employe chances very low
Senior Business Development Executive,Greater Noida,Full Time,,0 Aug 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Good company to grow in sales department,Nothing
Deputy Manager Operations,Ranjangaon MIDC,,Engineering Department,9 May 2022,4.0,2.0,4.0,3.0,4.0,3.0,4.0,Continuous challenging environment,You have to keep engage yourself fully for minimum 12 hrs. Work load is too high. Increment is very less.
Key Account Manager,BENGALURU,,Enterprise & B2B Sales Department,4 May 2022,4.0,2.0,4.0,3.0,4.0,3.0,3.0,"Good perks, benefits, bonus and compensatition.",Long working hours..
Senior Assistant Manager,Riyadh,,Construction / Manufacturing Department,7 May 2022,4.0,4.0,3.0,2.0,4.0,3.0,2.0,for initial career growth & learning.,individual skill development program is just superficial need to improve.
Assembling,Lg Company Greater Noyda,,Assembling  Department,2 Jul 2022,2.0,1.0,2.0,1.0,3.0,2.0,2.0,Kuch nhi paise ke according kaam jyada..,"Hard work...
1 men 2 work karta h..."
Manager,Ahmedabad,,Retail & B2C Sales Department,2 May 2022,4.0,3.0,4.0,4.0,4.0,3.0,4.0,Good Organizations with good compensation.,Poor work life balance
Sales Executive,Vijayawada,,Retail & B2C Sales Department,0 Dec 2021,3.0,2.0,3.0,3.0,1.0,2.0,1.0,No growth they uses employees life for their benefits they recruited me as a temprary for 3yrs they dont say firstly say u r a permonent onrolljob liers worst i lost so much of money In 3yrs PF-100000 nd other benefits also,This is not a good job worst
Deputy Manager Product Development,Greater Noida,,Engineering & Manufacturing Department,7 Dec 2021,3.0,2.0,2.0,2.0,5.0,1.0,4.0,"Initial years were good but now this R&D centre is considered to be as low cost centre.
Very high attrition rate and bad management of people.
HR and IT support is worst.
Typical lala chaap company.
Policies are changed at times to reduce benefits for people.
It can be shutdown any time
Please don’t waste your time here",They called people to office during covid and when more than 50% got covid they never supported anybody.Some people were close to death but they never cared.
SSC,Allahabad,,Banking Operations Department,4 Oct 2022,1.0,1.0,4.0,3.0,1.0,1.0,1.0,LG company is not good.,Not good work enviroment.
Technical Service Coordinator,Mumbai,Full Time,Customer Service Department,3 May 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Good work environment and culture,Salary is decent but career growth is slow.
Deputy Manager,"Greater Noida, Uttar Pradesh",Full Time,,6 Sep 2022,5.0,4.0,4.0,4.0,4.0,4.0,4.0,Work life balance,Late sitting
Sales Executive,Warangal,,Nalgonda  Department,9 Jun 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Lg has a good company,",No remarks becouse of its a top brand in India and World 🌎.
Area Sales Manager,Nagpur,,BD / Pre Sales Department,0 Feb 2022,4.0,4.0,4.0,4.0,4.0,4.0,3.0,Best organization to work & you can learn many things here after coming from any company as fresher.,In one stanza .. In front of senior sales people Hr is getting weak here .
Assistant General Manager,Noida,,Corporate Training Department,3 Apr 2022,4.0,4.0,4.0,4.0,5.0,3.0,4.0,"Job security, people help you if you approach them",Multiple activities at any given point of time
