Factory Name;Factory Type;Product Type Type;Nike, Inc. Brand(s);Events;Supplier Group;Address;City;State;Postal Code;Country / Region;Region;Total Workers;Line Workers;% Female Workers;% Migrant Workers
KURARAY CO LTD (CLARINO) (TR1) (VIETNAM);MATERIALS;Footwear;Nike;;KURARAY;NO 9 8TH STREET VSIP THUAN AN DISTRICT;THUAN AN CITY;Bình Duong;75200;Vietnam;SE ASIA;130;100;50;3
League Optical(Zhongshan) Workshop Limited;FINISHED GOODS;Equipment;Nike;;ARTS OPTICAL;Yaguan building 3;Zhongshan ;Guangdong;528463;China;N ASIA;67;60;51;0
SP Apparel Inc.;FINISHED GOODS;Apparel;Nike;;SP APPAREL;6935 rue Picard;St-Hyacinthe;Quebec;J2S 1H3;Canada;AMERICAS;255;200;80;5
LI CHENG ENTERPRISE CO.,LTD;FINISHED GOODS - COMPONENTS;Footwear;Nike;;LI CHENG ENTERPRISE;NO 5 DOU KUNG 12 ROAD DOU LIU CITY;Yun-Lin Hsien;Yunlin;64645;Taiwan;N ASIA;360;211;44;36
LIM SRL;FINISHED GOODS;Footwear;Converse;;LIM;VIA FRASSENARA 21;Montagnana;Padova;35044;Italy;EMEA;39;29;15;24
LION BROTHERS FAR EAST;FINISHED GOODS - COMPONENTS;Apparel;Nike;;LION BROTHERS;No  62 Upper North Lane 4 Shangnan Industrial Zone;Shenzhen;Guangdong;518125;China;N ASIA;355;265;51;0
Long Chuan Simona Footwear Co. Ltd;FINISHED GOODS;Footwear;Nike;Collegiate;STELLA;Xin cheng Long Chuan;HeYuan;Guangdong;517300;China;N ASIA;4546;3835;87;0
Long Fa Shoes Industrial Huizhou Co., Ltd.;FINISHED GOODS;Footwear;Nike;Collegiate;DEAN SHOES;LONGTING INDUS. PARK, LONGXI TOWN, BOLUO COUNTY;Huizhou;Guangdong;516121;China;N ASIA;6549;4988;57;0
Long Yue Shoes Industrial Hui Zhou Co.,Ltd.;FINISHED GOODS - COMPONENTS;Footwear;Nike;Collegiate;DEAN SHOES;Longting Industrial Zone Longxi Town Boluo County;Huizhou;Guangdong;516000;China;N ASIA;480;403;70;0
Longchuan Somona Footwear Co.,Ltd Wuhua Branch;FINISHED GOODS - COMPONENTS;Footwear;Nike;Collegiate;STELLA;Shuizhai Industry Garden;Meizhou;Guangdong;514400;China;N ASIA;882;828;92;0
Longhui Stella Footwear Co., Ltd;FINISHED GOODS - COMPONENTS;Footwear;Nike;Collegiate;STELLA;South east Industrial Park;Shaoyang City;Hunan;422200;China;N ASIA;730;641;89;0
Longway Vietnam Company Limited;FINISHED GOODS;Equipment;Nike;;LONGWAY;Lot HC1 Route 3 Xuyen A Industrial Zone;Duc Hoa;Long An;863900;Vietnam;SE ASIA;1275;1100;76;0
LONGWELL COMPANY LTD.;FINISHED GOODS;Footwear;Nike;;DEAN SHOES;Dau Giay Industrial Park,;Huyen Thong Nhat;Ðng Nai;81000;Vietnam;SE ASIA;5245;4605;90;0
Lotus Footwear Enterprises Limited Unit-2;FINISHED GOODS;Footwear;Nike;;FENG TAY;Plot 3C Sipcot Industrial Park Mangal Village Mathur post;Near Kanchipuram;Tamil Nadu;631701;India;S ASIA;4594;4476;63;0
Fairway Enterprises Company Ltd (India Branch) - Unit 1;FINISHED GOODS;Footwear;Nike;;FENG TAY;Plot no G 1B SIPCOT Industrial Park;KRISHNAGIRI;Tamil Nadu;635304;India;S ASIA;6513;6490;54;0
Lucky Star Vietnam Garment Company Limited;FINISHED GOODS;Apparel;Nike;;LUCKY STAR;No 108 part of lot D road No 3 Dong An IP Binh Hoa Ward;Thuan An ;Bình Duong;820000;Vietnam;SE ASIA;963;863;76;0
LUCKYTEX SOC TRANG VIETNAM CO., LTD;FINISHED GOODS;Apparel;Nike;;TUNTEX;LOT H AN NGHIEP INDUSTRIAL ZONE AN HIEP  WARD;Soc Trang;Sóc Trang;960000;Vietnam;SE ASIA;865;579;75;2
M S STYLE TEXTILE (PVT.) LIMITED (SUNDER) - unit VI;FINISHED GOODS;Apparel;Nike;Collegiate;STYLE TEXTILE;PLOT NO 143 to 146 and 151 to 155;Lahore;Punjab;54700;Pakistan;S ASIA;6014;5434;15;0
Majestic Athletic;FINISHED GOODS;Apparel;Nike;;FANATICS;2320 Newlins Mill Rd;Easton;Pennsylvania;18045;USA;AMERICAS;519;417;65;0
MANUFACTURE OF ARTISTIC BELT & ACCESSORIES CO., LTD.;FINISHED GOODS;Equipment;Nike;;ARTISTIC BELT AND ACCESSORIES;Factory 7, DE1B & DE1 St., My Phuoc 3 Industrial Park,;Ben Cat Town;Bình Duong;82575;Vietnam;SE ASIA;37;27;85;11
MAPLE COMPANY LIMITED;FINISHED GOODS;Apparel;Nike;;RAMATEX;No 120 Road No 14 VSIP Hai Phong Township;Hai Phong City;Hai Phong;4000;Vietnam;SE ASIA;2628;2223;72;0
Marbelys;FINISHED GOODS;Apparel;Nike;;MARBELYS;4ta Calle Final 4 00 zona 2;San Pedro Sacatepequez;Sacatepéquez;1058;Guatemala;AMERICAS;182;161;56;0
Marbelys 2;FINISHED GOODS;Apparel;Nike;;MARBELYS;5a Avenida 0 03 zona 2;San Pedro Sacatepequez;Sacatepéquez;1058;Guatemala;AMERICAS;104;101;56;0
Marchon Italia Srl a SU;FINISHED GOODS;Equipment;Nike;;MARCHON;V.le Alpago 151;Alpago;Belluno;32016;Italy;EMEA;283;143;59;0
MARVEL GARMENT CO.,LTD.;FINISHED GOODS;Apparel;Nike;;SHENZHOU;PPSEZ Beung Thom 3 village;Phnom Penh;Phnom Penh;120909;Cambodia;SE ASIA;14101;12909;88;3
